ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,1,48,52800,3.606279,0.002436,8.888322,0.001485
DA,1,48,52800,6.549023,0.002436,14.42364,0.001485
GI,1,48,53088,5.835259,0.002436,10.656602,0.001485
JO,1,48,52800,4.210812,0.002436,10.450013,0.001485
KC,1,48,52800,2.469651,0.002436,7.12365,0.001485
KW,1,48,53088,3.149124,0.002436,6.561305,0.001485
LB,1,48,53088,3.933783,0.002436,8.174639,0.001485
NR,1,48,53088,6.617046,0.002436,12.952019,0.001485
SB,1,48,52800,5.077053,0.002436,12.415108,0.001485
ZC,1,48,53088,4.817614,0.002436,13.065665,0.001485
ZF,1,48,53088,2.033696,0.002436,5.795307,0.001485
ZG,1,48,53040,4.052838,0.002436,8.174826,0.001485
ZH,1,48,52944,6.387339,0.002436,13.937163,0.001485
ZI,1,48,53040,4.032445,0.002436,10.463945,0.001485
ZK,1,48,52992,3.312886,0.002436,9.706226,0.001485
ZL,1,48,53088,5.22917,0.002436,9.813599,0.001485
ZN,1,48,52896,2.24787,0.002436,3.073579,0.001485
ZO,1,48,53040,3.423741,0.002436,6.396941,0.001485
ZP,1,48,53040,5.762181,0.002436,11.643905,0.001485
ZR,1,48,53088,3.694893,0.002436,9.710996,0.001485
ZT,1,48,53088,0.723867,0.002436,3.918531,0.001485
ZU,1,48,52848,5.439698,0.002436,9.825359,0.001485
ZW,1,48,53088,2.567893,0.002436,4.836534,0.001485
ZZ,1,48,53088,3.75808,0.002436,9.908498,0.001485
