ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,1,26,28600,1.679286,0.002234,2.489173,0.002411
DA,1,26,28600,-0.437464,0.002268,-0.494519,0.002286
GI,1,26,28756,1.467206,0.002241,3.406681,0.002756
JO,1,26,28600,3.006508,0.002188,1.519313,0.002632
KC,1,26,28600,-0.742577,0.002251,0.897877,0.002975
KW,1,26,28756,-0.5654,0.002161,-0.622012,0.002399
LB,1,26,28756,-0.706741,0.00222,-2.457045,0.002239
NR,1,26,28756,-0.000553,0.002247,-4.887878,0.002653
SB,1,26,28600,-0.421172,0.002264,-0.346456,0.004605
ZC,1,26,28756,0.841459,0.002265,-0.602238,0.002923
ZF,1,26,28756,-6.547088,0.002133,-10.560632,0.003943
ZG,1,26,28730,0.940313,0.002273,3.468532,0.003603
ZH,1,26,28678,1.354054,0.002289,3.406265,0.001995
ZI,1,26,28730,1.655965,0.002235,14.053181,0.00131
ZK,1,26,28704,-0.305356,0.002236,-2.572062,0.002614
ZL,1,26,28756,1.827789,0.002188,6.58155,0.002462
ZN,1,26,28652,-3.132438,0.00226,-4.827731,0.002632
ZO,1,26,28730,0.246623,0.002156,-0.425984,0.003358
ZP,1,26,28730,0.884828,0.00225,10.773761,0.002852
ZR,1,26,28756,-1.635707,0.002136,-1.403273,0.00332
ZT,1,26,28756,-3.811047,0.002203,-4.720182,0.003483
ZU,1,26,28626,0.631068,0.002175,0.76446,0.002569
ZW,1,26,28756,-1.772728,0.002207,-1.187243,0.002673
ZZ,1,26,28756,-1.677171,0.002223,-4.023194,0.007167
