Asset,E(R),std(R),Sharpe,Sortino,MDD,% +ve,Ave P/L
Commodity,-0.149,0.97,-0.154,-0.239,0.131,0.494,0.995
Equity Index,0.135,0.97,0.139,0.19,0.181,0.492,1.058
Fixed Income,0.299,0.97,0.309,0.453,0.423,0.502,1.047
Forex,-0.189,0.97,-0.195,-0.289,0.319,0.492,0.997
All,-0.068,0.97,-0.07,-0.109,0.074,0.494,1.012
