bp_bps,E(R),std(R),Sharpe,Sortino,MDD,% +ve,Ave P/L
1,-0.111,0.97,-0.114,-0.156,0.334,0.492,1.01
20,-0.0018208905682763682,0.01842344580033033,-1.568965000532952,,,,
