bp_bps,E(R),std(R),Sharpe,Sortino,MDD,% +ve,Ave P/L
1,0.295,0.97,0.305,0.425,0.155,0.503,1.041
20,-0.0007887984974533338,0.035167169594720334,-0.3560647074280759,,,,
