date,asset,DQN_drawdown,Long_drawdown
2011-01-03,Commodity,0.0,0.0
2011-01-04,Commodity,-0.179047,-0.810661
2011-01-05,Commodity,-0.207908,-0.630885
2011-01-06,Commodity,-0.502007,-0.913724
2011-01-07,Commodity,-0.901485,-1.148826
2011-01-10,Commodity,-0.522266,-0.875916
2011-01-11,Commodity,-0.089167,-0.432711
2011-01-12,Commodity,0.0,-0.022889
2011-01-13,Commodity,0.0,-0.020549
2011-01-14,Commodity,0.0,-0.082344
2011-01-18,Commodity,0.0,0.0
2011-01-19,Commodity,0.0,-0.094472
2011-01-20,Commodity,-0.48611,-0.22045
2011-01-21,Commodity,-0.309996,0.0
2011-01-24,Commodity,-0.249527,0.0
2011-01-25,Commodity,-0.649559,-0.530513
2011-01-26,Commodity,-0.30459,0.0
2011-01-27,Commodity,-0.506146,-0.135574
2011-01-28,Commodity,-0.096161,0.0
2011-01-31,Commodity,0.0,0.0
2011-02-01,Commodity,0.0,0.0
2011-02-02,Commodity,0.0,0.0
2011-02-03,Commodity,0.0,-0.012718
2011-02-04,Commodity,-0.391499,-0.207361
2011-02-07,Commodity,-0.63524,-0.406432
2011-02-08,Commodity,-0.440454,-0.249491
2011-02-09,Commodity,-0.434807,-0.014398
2011-02-10,Commodity,-0.312504,-0.041859
2011-02-11,Commodity,-0.192036,-0.19414
2011-02-14,Commodity,-0.024856,0.0
2011-02-15,Commodity,0.0,-0.350011
2011-02-16,Commodity,0.0,-0.296542
2011-02-17,Commodity,0.0,0.0
2011-02-18,Commodity,-0.053558,-0.157257
2011-02-22,Commodity,0.0,-0.506032
2011-02-23,Commodity,0.0,-0.530907
2011-02-24,Commodity,-0.126875,-0.749292
2011-02-25,Commodity,0.0,-0.150161
2011-02-28,Commodity,0.0,-0.107148
2011-03-01,Commodity,0.0,0.0
2011-03-02,Commodity,0.0,0.0
2011-03-03,Commodity,-0.081173,0.0
2011-03-04,Commodity,-0.017117,0.0
2011-03-07,Commodity,-0.106791,-0.207122
2011-03-08,Commodity,-0.239853,-0.356961
2011-03-09,Commodity,-0.720732,-0.389141
2011-03-10,Commodity,-1.045327,-1.132938
2011-03-11,Commodity,-1.194943,-1.376833
2011-03-14,Commodity,-1.349133,-1.587689
