ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,1,21,23100,0.56206,0.002075,-1.092583,0.001904
DA,1,21,23100,0.201877,0.002097,-0.024417,0.001818
GI,1,21,23226,1.186542,0.002051,1.032934,0.001587
JO,1,21,23100,1.059808,0.00208,1.964748,0.000991
KC,1,21,23100,-0.881895,0.002034,-1.213345,0.00138
KW,1,21,23226,-1.734071,0.002017,-1.279145,0.000916
LB,1,21,23226,0.139362,0.001963,4.095292,0.002009
NR,1,21,23226,-0.495837,0.002067,-1.086321,0.002269
SB,1,21,23100,0.775723,0.002068,-0.439583,0.001693
ZC,1,21,23226,1.27581,0.002066,3.991352,0.002704
ZF,1,21,23226,-5.380521,0.001918,-6.992372,0.002212
ZG,1,21,23205,-0.500374,0.001887,1.387997,0.001682
ZH,1,21,23163,1.323599,0.002088,2.919493,0.000983
ZI,1,21,23205,-0.266068,0.002046,-0.843852,0.001272
ZK,1,21,23184,0.355274,0.002052,0.65432,0.002381
ZL,1,21,23226,1.689897,0.001908,3.056906,0.002138
ZN,1,21,23142,-3.486859,0.001978,-1.877583,0.001417
ZO,1,21,23205,1.133446,0.001955,1.994831,0.001552
ZP,1,21,23205,0.259644,0.002052,-0.92884,0.002402
ZR,1,21,23226,-2.687719,0.002006,-0.526551,0.001709
ZT,1,21,23226,-3.087083,0.002014,-1.159338,0.002539
ZU,1,21,23121,-0.047121,0.002046,1.451449,0.001374
ZW,1,21,23226,-2.93846,0.00202,-1.265257,0.002415
ZZ,1,21,23226,-1.541915,0.002038,0.359174,0.00161
