,Commodity,Equity Index,Fixed Income,Forex,All
2011-03-30,,1.0332273066311157,1.0225070172189288,1.0147677908488895,1.0267429054768016
2011-03-31,,1.014293947689111,0.9898276664741276,0.9984379300454125,1.005333436831626
2011-04-01,0.9971543885440788,1.0486528516309663,0.9791011849312484,1.0001937270179466,1.0120137086685188
2011-04-04,1.0141118042788122,1.0510312175691454,0.993121914666165,0.9938879074599375,1.0208544135650384
2011-04-05,1.0249546094582738,1.0471744641056968,0.9561284797248248,1.0005810455918025,1.0233911100427213
2011-04-06,1.011426359565602,1.0590877198412585,0.9204788169398955,1.0175852084026111,1.0197812138664935
2011-04-07,0.993144225676571,1.0524200712626903,0.9395507219086375,1.0242362216457288,1.0121708633399205
2011-04-08,1.0196871091353956,1.0398623442385073,0.8987336740973648,1.0478887076791705,1.0232762996238107
2011-04-11,1.0157274656935982,1.0262414346891597,0.89578088725018,1.0497353489841887,1.018253040478114
2011-04-12,0.9643679228799336,0.9717364829390002,0.9665532283084088,1.041807461925702,0.9848682410470607
2011-04-13,0.9732722498276654,0.9849351380890227,0.9946197308217158,1.0474789739975392,0.9957893973268019
2011-04-14,0.9866962639462755,0.9819520315250451,0.9701762608161543,1.0687491079181206,1.0036531308967438
2011-04-15,0.9891285602968871,1.0075860439728395,1.037665394544869,1.072207992255795,1.0172489489168233
2011-04-18,0.9802693575545887,0.9315379540537039,1.1246815695364687,1.0521858576879999,0.9986867113992252
2011-04-19,1.000802142956849,0.9507362837891292,1.1079845802545487,1.067433561937831,1.0147266491111926
2011-04-20,1.0224338838916645,1.0367689774561417,1.0714234042071067,1.1097584907907359,1.050440890118092
2011-04-21,1.029543841684115,1.0531265864081627,1.0951183749768374,1.1379963227718735,1.0651724454076186
2011-04-22,,,,1.1379288681315067,1.0651049907672516
2011-04-25,1.031665289714743,1.05314528036354,1.1352902115311965,1.1330091234065849,1.067129010456106
2011-04-26,1.0107157859078908,1.085976785201795,1.1735860306374466,1.1419373884067332,1.0695299812452452
2011-04-27,1.0035618139345948,1.1262308881894891,1.137604532513696,1.157872394995784,1.075439403464081
2011-04-28,1.002308238368996,1.1379754938387108,1.1871683380693117,1.1808927671156686,1.0862010416648062
2011-04-29,1.0425970758237906,1.1521914424674096,1.2162815113121557,1.2169814622680843,1.118632310722659
2011-05-02,1.0294173753396028,1.140022346976422,1.2129579919514655,1.2103501647632315,1.107781908243433
2011-05-03,1.0065436896633926,1.1203752395301754,1.213660122732535,1.1788658351787489,1.0860209849328457
2011-05-04,0.9537332642735792,1.0726451895596378,1.1990861406576778,1.1701170084295083,1.0460910763650964
2011-05-05,0.8717469430806478,1.0451298218430911,1.2803893865531535,1.1141576973701555,0.9957341561891025
2011-05-06,0.8727929836751472,1.0544990520649251,1.3155953521180563,1.1136742178366072,1.0013425181587055
2011-05-09,0.8914813347567191,1.0760485600781342,1.3488319237069082,1.1314171742763093,1.0217576151232626
2011-05-10,0.911795667222236,1.1260328522179917,1.3098973257897841,1.13614656894166,1.0409891687523047
2011-05-11,0.862507075106489,1.0819773073211587,1.3480351562304744,1.106854982386737,1.0041950927999879
2011-05-12,0.8700816189435747,1.100333844094072,1.3220979697397388,1.1004310125389107,1.0087604531864056
2011-05-13,0.8646160754943727,1.04803132850599,1.3632778677899349,1.070231168489,0.9915665345683428
2011-05-16,0.8632283720070403,1.0150491959895165,1.3716678602151506,1.0722649386094236,0.9842717103746155
2011-05-17,0.8680029307939322,1.0006926951311308,1.3847063579910939,1.0724751670064714,0.9843980803604342
2011-05-18,0.9052672907436469,1.0509697624046894,1.3426737361909256,1.0675190735139695,1.0098745205778679
2011-05-19,0.8946131286147115,1.0722737732922694,1.355710621068524,1.0868760420163033,1.0144630024252992
2011-05-20,0.9014940751924758,1.0249105315706357,1.398057433010887,1.0922192770763877,1.0113724168010614
2011-05-23,0.8700034717929712,0.9629593633655389,1.432719933859092,1.044224418408941,0.9752224071615108
2011-05-24,0.8732827597321768,0.9538738264982171,1.4296966387887675,1.056915840012047,0.9768737333574224
2011-05-25,0.9176293340269069,0.9786969346521434,1.4446958997194734,1.061209810950594,1.006483694647672
2011-05-26,0.9238914276059956,1.0110494318076948,1.5207968272774286,1.0916445877710546,1.0294245951295034
2011-05-27,0.9404255674121452,1.0250694020302404,1.5303084421267186,1.1236599242004288,1.04773713502846
2011-05-30,,1.0231865966771914,1.5313460681804796,1.1198885498825228,1.0460836324402896
2011-05-31,0.9531216102687611,1.086716522702662,1.5132932389743592,1.1292602440408672,1.0674234644101397
2011-06-01,0.924149687442734,0.9779014021192701,1.5974834206576982,1.1249682332369244,1.034121593731032
2011-06-02,0.9260109159774436,0.9613198933887557,1.5426015223111937,1.1234683572601896,1.0261936189030751
2011-06-03,0.9326615467887673,0.920039579395878,1.5569874735307025,1.1378940834765423,1.0237735422129475
2011-06-06,0.9236631414772906,0.883215076532595,1.574549840268899,1.1184405431217563,1.008521090087408
