,Commodity,Equity Index,Fixed Income,Forex,All
2011-03-30,,0.04707770220858182,0.02934402246423777,0.021423994371357658,0.03743606052378888
2011-03-31,,0.02028697929136694,-0.013262172346975819,-0.002267186449774663,0.007819575429259304
2011-04-01,-0.0035540626336841978,0.0690116898513663,-0.02724715593360619,0.00027911359608863776,0.01763474200999924
2011-04-04,0.01763261373399102,0.07239719956179606,-0.008967307474202591,-0.008868813795125175,0.02859904436293429
2011-04-05,0.031179498092549884,0.06691905524884445,-0.05719830831490934,0.0008409947249375417,0.031700810876170965
2011-04-06,0.014283456997804946,0.08380746392068822,-0.10367732848401569,0.025510019694201934,0.028153336285917815
2011-04-07,-0.008549907515219168,0.07435106074081478,-0.07881188717598993,0.03515939333208222,0.01873032158793618
2011-04-08,0.024603613552511887,0.05651506806662954,-0.13202777785307834,0.06947350476669145,0.032821779148466096
2011-04-11,0.01965729166482475,0.037182240072911904,-0.1358775148914157,0.0721527690138157,0.026061947631935686
2011-04-12,-0.044499509775168054,-0.0400790659814058,-0.04360663963333211,0.060652101557389315,-0.017765782278550107
2011-04-13,-0.033371820744493186,-0.02138512921406154,-0.007014391468223961,0.0688800593703231,-0.0032553404674193504
2011-04-14,-0.016601179739293467,-0.025578600051355267,-0.03888335698102978,0.09973737864421331,0.007166714326690251
2011-04-15,-0.013554935577030178,0.01078261171178304,0.04910732017341485,0.10475528026335511,0.025616943439810073
2011-04-18,-0.02462187532781526,-0.09697489167316248,0.16255661589147055,0.07570897828408285,-0.0009254328675023724
2011-04-19,0.001028426085945864,-0.06974346004392225,0.14078756324201286,0.09782902951785537,0.020383225237694865
2011-04-20,0.028051267546413888,0.052131507567166294,0.09311972635919541,0.15923281259087363,0.06983243156617641
2011-04-21,0.03693847912701195,0.07529870487986101,0.12401282263790081,0.200200025045273,0.09007758760868308
2011-04-22,,,,0.2001021768950549,0.08997973945846496
2011-04-25,0.039591691770887553,0.07532117829486193,0.17638786586702043,0.192964981616877,0.09240162057950745
2011-04-26,0.013416424797001312,0.12186212468060292,0.22631701040201496,0.20591764683875455,0.09721459579186156
2011-04-27,0.00448830543216288,0.17892196517121892,0.17940516445787305,0.2290356372319945,0.10663429855288463
2011-04-28,0.002935832214317334,0.19557285607938593,0.24402521305734542,0.26243307771341856,0.1216664278020356
2011-04-29,0.05326336670040428,0.21573212291290486,0.2819822096616046,0.31478915647512695,0.16426893681525093
2011-05-02,0.03679102669027057,0.19847628063351366,0.27764906372573306,0.30516879727858226,0.14995842826591543
2011-05-03,0.008202546192937085,0.1706102504024132,0.27856445796400864,0.2594937965148333,0.12077811307652367
2011-05-04,-0.05777123900307447,0.10299305460992986,0.25956334232845907,0.24680177128182562,0.0686202640793992
2011-05-05,-0.16017810332433766,0.06401165046920618,0.36556409184972055,0.1656172873861404,0.0028583346769920775
2011-05-06,-0.158872281254972,0.07725011235780996,0.41146442729346,0.16491621740790527,0.010367881492755762
2011-05-09,-0.13552142511340548,0.10782291706191265,0.45479717872530745,0.19065834237237275,0.03756747028868675
2011-05-10,-0.1101407956000258,0.17861998851563776,0.4040356642703829,0.1975208383800703,0.06355127180035246
2011-05-11,-0.17172702919745103,0.11617318894750273,0.4537584213104967,0.15502172819337198,0.01489171581077596
2011-05-12,-0.16226212820598504,0.1422223942529008,0.4199426470868675,0.1457022758212907,0.02095758417077273
2011-05-13,-0.1690937079811172,0.06811794723087863,0.47363142599731944,0.10188528644280351,-0.003550352868266854
2011-05-16,-0.1708281014240204,0.021379090459496264,0.4845699384208115,0.1048377767195738,-0.013841672261608965
2011-05-17,-0.16486779189960327,0.0010523643766033736,0.5015689524767077,0.1051439623758467,-0.014176888021612932
2011-05-18,-0.1183104942020742,0.07226560192755753,0.44676856382342456,0.09795342895660933,0.019232624844714614
2011-05-19,-0.13162473877632724,0.10241489795926745,0.46376551845081015,0.12603793861459983,0.02659779583561772
2011-05-20,-0.12302950522215546,0.03531568374945718,0.5189755970403176,0.1337901708861424,0.021283102649233693
2011-05-23,-0.16238700626932817,-0.05241359376881291,0.5641671867808848,0.0641554752026777,-0.02799754583959306
2011-05-24,-0.15828732137415416,-0.0652904918571052,0.560225519128255,0.08256948737369485,-0.02581443280669047
2011-05-25,-0.10287288682122986,-0.03016616982865597,0.5797809316640852,0.08879986046889556,0.012381195810976069
2011-05-26,-0.09504941589851265,0.015655436225152454,0.6789981924184465,0.1329571293116819,0.043833577947506086
2011-05-27,-0.07439438513819298,0.035507453823693455,0.6913990431702713,0.17940856425977536,0.06853792302434533
2011-05-30,,0.0328451388555351,0.6927518391374763,0.1739369988128707,0.06614357704654632
2011-05-31,-0.05852625604622656,0.12278617280464639,0.6692152748098614,0.187534064315769,0.09555944246720752
2011-06-01,-0.09472286577954919,-0.03133490341181387,0.7789787340033145,0.1813078562697172,0.04992463612916205
2011-06-02,-0.09240344015963069,-0.05479322505536992,0.7074261490940422,0.17913238615957217,0.03906326763023896
2011-06-03,-0.08409055633202282,-0.11324882063314161,0.7261818562119992,0.20006264087309578,0.035054329280729005
2011-06-06,-0.09534097641474892,-0.16536646503145888,0.7490789642930588,0.17183844584740474,0.013895114957512594
2011-06-07,-0.08634560855909872,-0.15944409267841228,0.7085550441573283,0.19765080175376834,0.02117713791874276
2011-06-08,-0.0691464287272198,-0.20796727880613156,0.7903579912225565,0.16284044454616112,0.018533407325567245
2011-06-09,-0.04754909412978231,-0.1570936141011244,0.758503225992736,0.16680071060452956,0.03905622309369862
2011-06-10,-0.06330017663335755,-0.2518699542108338,0.8409998081290965,0.1338001288363308,0.009868275303116049
