date,asset,DQN_cum_return,Long_cum_return
2011-01-03,All,0.0,0.0
2011-01-04,All,-0.080259,0.0
2011-01-05,All,-0.21960375,0.0
2011-01-06,All,-0.21794799999999998,0.0
2011-01-07,All,-0.20082524999999998,0.0
2011-01-10,All,-0.18408825,0.0
2011-01-11,All,-0.1670295,0.0
2011-01-12,All,-0.09674374999999999,0.0
2011-01-13,All,-0.03551299999999999,0.0
2011-01-14,All,-0.07108999999999999,0.0
2011-01-18,All,-0.06625599999999998,0.0
2011-01-19,All,-0.0012484999999999857,0.0
2011-01-20,All,-0.13695599999999997,0.0
2011-01-21,All,-0.10718174999999996,0.0
2011-01-24,All,-0.09176374999999996,0.0
2011-01-25,All,-0.08534324999999998,0.0
2011-01-26,All,-0.10301749999999998,0.0
2011-01-27,All,-0.09427599999999997,0.0
2011-01-28,All,-0.08266999999999997,0.0
2011-01-31,All,-0.08764974999999997,0.0
2011-02-01,All,-0.03724274999999997,0.0
2011-02-02,All,-0.055626499999999975,0.0
2011-02-03,All,-0.051698749999999974,0.0
2011-02-04,All,-0.13847149999999997,0.0
2011-02-07,All,-0.15593299999999996,0.0
2011-02-08,All,-0.20879124999999998,0.0
2011-02-09,All,-0.1903885,0.0
2011-02-10,All,-0.231304,0.0
2011-02-11,All,-0.19853625,0.0
2011-02-14,All,-0.176005,0.0
2011-02-15,All,-0.1593045,0.0
2011-02-16,All,-0.13499925,0.0
2011-02-17,All,-0.05523125000000002,0.0
2011-02-18,All,-0.089559,0.0
2011-02-22,All,0.0006465000000000221,0.0
2011-02-23,All,0.03649475000000003,0.0
2011-02-24,All,0.06616125000000002,0.0
2011-02-25,All,0.10125875000000002,0.0
2011-02-28,All,0.13334225000000005,0.0
2011-03-01,All,0.11375800000000004,0.0
2011-03-02,All,0.08557525000000005,0.0
2011-03-03,All,0.03522625000000004,0.0
2011-03-04,All,0.08367050000000006,0.0
2011-03-07,All,0.029838250000000045,0.0
2011-03-08,All,0.0005462500000000467,0.0
2011-03-09,All,0.018331250000000035,0.0
2011-03-10,All,-0.015227499999999956,0.0
2011-03-11,All,0.007149500000000055,0.0
2011-03-14,All,-0.03116474999999994,0.0
2011-03-15,All,-0.11159049999999993,0.0
2011-03-16,All,-0.10142474999999992,0.0
2011-03-17,All,-0.03431949999999995,0.0
2011-03-18,All,-0.008262749999999926,0.0
2011-03-21,All,0.05054850000000008,0.0
2011-03-22,All,0.04772625000000007,0.0
2011-03-23,All,0.03461875000000008,0.0
2011-03-24,All,0.004393250000000078,0.0
2011-03-25,All,-0.054361999999999945,0.0
2011-03-28,All,-0.04750699999999994,0.0
2011-03-29,All,-0.10970274999999995,0.0
2011-03-30,All,-0.07153249999999994,0.0
2011-03-31,All,-0.05867974999999995,0.0
2011-04-01,All,-0.06332824999999993,0.0
2011-04-04,All,-0.06833224999999996,0.0
2011-04-05,All,-0.09715799999999994,0.0
2011-04-06,All,-0.10557799999999994,0.0
2011-04-07,All,-0.08791124999999994,0.0
2011-04-08,All,-0.08566424999999994,0.0
2011-04-11,All,-0.08737899999999996,0.0
2011-04-12,All,-0.04017824999999996,0.0
2011-04-13,All,-0.00925974999999997,0.0
2011-04-14,All,-0.0010467499999999574,0.0
2011-04-15,All,0.06419125000000005,0.0
2011-04-18,All,0.06904800000000005,0.0
2011-04-19,All,0.08649250000000006,0.0
2011-04-20,All,0.15632900000000005,0.0
2011-04-21,All,0.18903800000000004,0.0
2011-04-25,All,0.20258475000000004,0.0
2011-04-26,All,0.26457275,0.0
2011-04-27,All,0.27733725,0.0
2011-04-28,All,0.33132649999999997,0.0
2011-04-29,All,0.36809899999999995,0.0
2011-05-02,All,0.37505625,0.0
2011-05-03,All,0.3581125,0.0
2011-05-04,All,0.34858425,0.0
2011-05-05,All,0.3276325,0.0
2011-05-06,All,0.33400674999999996,0.0
2011-05-09,All,0.36416725,0.0
2011-05-10,All,0.39210475,0.0
2011-05-11,All,0.3252505,0.0
2011-05-12,All,0.29650350000000003,0.0
2011-05-13,All,0.26403525000000005,0.0
2011-05-16,All,0.2769500000000001,0.0
2011-05-17,All,0.26635850000000005,0.0
2011-05-18,All,0.25646575000000005,0.0
2011-05-19,All,0.27904775000000004,0.0
2011-05-20,All,0.26378100000000004,0.0
2011-05-23,All,0.18610650000000004,0.0
2011-05-24,All,0.18952625000000003,0.0
2011-05-25,All,0.20530475000000004,0.0
2011-05-26,All,0.21586650000000002,0.0
2011-05-27,All,0.22271800000000003,0.0
2011-05-31,All,0.24907775000000001,0.0
2011-06-01,All,0.16066125,0.0
2011-06-02,All,0.15137850000000003,0.0
2011-06-03,All,0.14868575,0.0
2011-06-06,All,0.146671,0.0
2011-06-07,All,0.16282049999999998,0.0
2011-06-08,All,0.14402774999999998,0.0
2011-06-09,All,0.15763424999999998,0.0
2011-06-10,All,0.10798499999999998,0.0
2011-06-13,All,0.10603675,0.0
2011-06-14,All,0.14423275,0.0
2011-06-15,All,0.10918599999999998,0.0
2011-06-16,All,0.12196424999999998,0.0
2011-06-17,All,0.14254250000000002,0.0
2011-06-20,All,0.138198,0.0
2011-06-21,All,0.19171850000000001,0.0
2011-06-22,All,0.14711575,0.0
2011-06-23,All,0.09933600000000001,0.0
2011-06-24,All,0.05290549999999999,0.0
2011-06-27,All,0.05292675,0.0
2011-06-28,All,0.05473424999999999,0.0
2011-06-29,All,0.09932049999999999,0.0
2011-06-30,All,0.17249474999999997,0.0
2011-07-01,All,0.18793849999999995,0.0
2011-07-05,All,0.19485874999999997,0.0
2011-07-06,All,0.22198674999999995,0.0
2011-07-07,All,0.21621424999999994,0.0
2011-07-08,All,0.27317549999999996,0.0
2011-07-11,All,0.28818024999999997,0.0
2011-07-12,All,0.29515175,0.0
2011-07-13,All,0.33986649999999996,0.0
2011-07-14,All,0.2868145,0.0
2011-07-15,All,0.272986,0.0
2011-07-18,All,0.2390215,0.0
2011-07-19,All,0.30049025,0.0
2011-07-20,All,0.28705175,0.0
2011-07-21,All,0.33855,0.0
2011-07-22,All,0.346399,0.0
2011-07-25,All,0.31558875000000003,0.0
2011-07-26,All,0.35618225,0.0
2011-07-27,All,0.325831,0.0
2011-07-28,All,0.34845574999999995,0.0
2011-07-29,All,0.4573905,0.0
2011-08-01,All,0.44275525,0.0
2011-08-02,All,0.39209249999999995,0.0
2011-08-03,All,0.398798,0.0
2011-08-04,All,0.24176874999999998,0.0
2011-08-05,All,0.2620425,0.0
2011-08-08,All,0.1340985,0.0
2011-08-09,All,0.1102565,0.0
2011-08-10,All,0.1054715,0.0
2011-08-11,All,0.12845575,0.0
2011-08-12,All,0.14944449999999998,0.0
2011-08-15,All,0.13733225000000002,0.0
2011-08-16,All,0.15953150000000002,0.0
2011-08-17,All,0.17530649999999998,0.0
2011-08-18,All,0.25487499999999996,0.0
2011-08-19,All,0.24747924999999993,0.0
2011-08-22,All,0.23541474999999995,0.0
2011-08-23,All,0.2435342499999999,0.0
2011-08-24,All,0.20265224999999992,0.0
2011-08-25,All,0.1846897499999999,0.0
2011-08-26,All,0.2559787499999999,0.0
2011-08-29,All,0.25129649999999987,0.0
2011-08-30,All,0.2813097499999999,0.0
2011-08-31,All,0.2528622499999999,0.0
2011-09-01,All,0.2815009999999999,0.0
2011-09-02,All,0.3403554999999999,0.0
2011-09-06,All,0.24439699999999992,0.0
2011-09-07,All,0.27976375,0.0
2011-09-08,All,0.23415249999999999,0.0
2011-09-09,All,0.20285449999999994,0.0
2011-09-12,All,0.18806999999999993,0.0
2011-09-13,All,0.21923074999999992,0.0
2011-09-14,All,0.23876599999999998,0.0
2011-09-15,All,0.23237649999999993,0.0
2011-09-16,All,0.21169299999999996,0.0
2011-09-19,All,0.18188224999999997,0.0
2011-09-20,All,0.17102849999999992,0.0
2011-09-21,All,0.14526874999999995,0.0
2011-09-22,All,0.08684049999999999,0.0
2011-09-23,All,0.093097,0.0
2011-09-26,All,0.08074124999999999,0.0
2011-09-27,All,0.14305174999999998,0.0
2011-09-28,All,0.16399324999999995,0.0
2011-09-29,All,0.12561299999999997,0.0
2011-09-30,All,0.14104474999999994,0.0
2011-10-03,All,0.12596025,0.0
2011-10-04,All,0.10628724999999994,0.0
2011-10-05,All,0.10562924999999998,0.0
2011-10-06,All,0.07486799999999998,0.0
2011-10-07,All,0.07665225000000002,0.0
2011-10-10,All,-0.0034877500000000256,0.0
2011-10-11,All,-0.02929550000000003,0.0
2011-10-12,All,-0.15261274999999996,0.0
2011-10-13,All,-0.09783199999999996,0.0
2011-10-14,All,-0.18331924999999993,0.0
2011-10-17,All,-0.06697474999999994,0.0
2011-10-18,All,-0.09051824999999997,0.0
2011-10-19,All,-0.08107949999999994,0.0
2011-10-20,All,-0.09027674999999999,0.0
2011-10-21,All,-0.08948599999999998,0.0
2011-10-24,All,-0.09350124999999997,0.0
2011-10-25,All,-0.027626249999999977,0.0
2011-10-26,All,-0.06569449999999995,0.0
2011-10-27,All,-0.19585724999999998,0.0
2011-10-28,All,-0.16363449999999996,0.0
2011-10-31,All,-0.04623375000000002,0.0
2011-11-01,All,0.11822850000000001,0.0
2011-11-02,All,0.08048050000000002,0.0
2011-11-03,All,-0.005613750000000001,0.0
2011-11-04,All,0.04397375000000006,0.0
2011-11-07,All,0.044670250000000036,0.0
2011-11-08,All,-0.018948249999999944,0.0
2011-11-09,All,0.09577450000000003,0.0
2011-11-10,All,0.08135875000000002,0.0
2011-11-11,All,0.0324020000000001,0.0
2011-11-14,All,0.03891749999999999,0.0
2011-11-15,All,0.04359825000000009,0.0
2011-11-16,All,0.047606000000000086,0.0
2011-11-17,All,0.09434150000000002,0.0
2011-11-18,All,0.06342850000000005,0.0
2011-11-21,All,0.1395655,0.0
2011-11-22,All,0.13111425000000004,0.0
2011-11-23,All,0.18528500000000003,0.0
2011-11-25,All,0.19433624999999996,0.0
2011-11-28,All,0.14332549999999997,0.0
2011-11-29,All,0.12276475,0.0
2011-11-30,All,0.07955750000000006,0.0
2011-12-01,All,0.10329574999999996,0.0
2011-12-02,All,0.11935725000000003,0.0
2011-12-05,All,0.06974349999999997,0.0
2011-12-06,All,0.055713749999999965,0.0
2011-12-07,All,0.07895799999999996,0.0
2011-12-08,All,0.12034975,0.0
2011-12-09,All,0.05136849999999997,0.0
2011-12-12,All,0.134814,0.0
2011-12-13,All,0.17674675,0.0
2011-12-14,All,0.17269474999999995,0.0
2011-12-15,All,0.13875325,0.0
2011-12-16,All,0.1382199999999999,0.0
2011-12-19,All,0.13745649999999995,0.0
2011-12-20,All,0.13637624999999995,0.0
2011-12-21,All,0.1456529999999999,0.0
2011-12-22,All,0.13119149999999996,0.0
2011-12-23,All,0.13001075,0.0
2011-12-27,All,0.14546449999999997,0.0
2011-12-28,All,0.19413875000000003,0.0
2011-12-29,All,0.16603900000000005,0.0
2011-12-30,All,0.17262574999999994,0.0
2012-01-03,All,0.170488,0.0
2012-01-04,All,0.17907250000000002,0.0
2012-01-05,All,0.16948475000000002,0.0
2012-01-06,All,0.15818499999999994,0.0
2012-01-09,All,0.17573424999999993,0.0
2012-01-10,All,0.21056750000000002,0.0
2012-01-11,All,0.17975675000000005,0.0
2012-01-12,All,0.18180100000000002,0.0
2012-01-13,All,0.17509700000000006,0.0
2012-01-17,All,0.18255650000000007,0.0
2012-01-18,All,0.17875950000000007,0.0
