bp_bps,E(R),std(R),Sharpe,Sortino,MDD,% +ve,Ave P/L
1,-0.29,0.97,-0.298,-0.436,0.178,0.501,0.947
20,-0.0009539711621197588,0.015711111800210942,-0.9638924927753141,,,,
