Asset,E(R),std(R),Sharpe,Sortino,MDD,% +ve,Ave P/L,daily_cost
Commodity,-0.469,0.97,-0.483,-0.593,0.234,0.326,1.071,1.779902
Equity Index,-1.137,0.97,-1.173,-1.352,1.056,0.318,0.976,18.799869
Fixed Income,-0.211,0.97,-0.217,-0.122,0.685,0.063,0.928,1.319052
Forex,-1.023,0.97,-1.055,-0.866,1.071,0.147,1.046,27.102467
All,-1.41,0.97,-1.453,-1.766,0.286,0.404,0.926,12.250323
