date,DQN_cum_return,Long_cum_return
2011-01-03,0.0,0.038684
2011-01-04,-0.042986,-0.156188
2011-01-05,-0.049946,-0.112972
2011-01-06,-0.120662,-0.180963
2011-01-07,-0.216621,-0.237478
2011-01-10,-0.125499,-0.171874
2011-01-11,-0.021318,-0.065334
2011-01-12,0.066133,0.033182
2011-01-13,0.100098,0.033745
2011-01-14,0.107291,0.01889
2011-01-18,0.156486,0.105162
2011-01-19,0.184288,0.08239
2011-01-20,0.066572,0.052022
2011-01-21,0.109128,0.129109
2011-01-24,0.123778,0.144173
2011-01-25,0.026943,0.016085
2011-01-26,0.11038,0.161232
2011-01-27,0.061604,0.128476
2011-01-28,0.160903,0.180476
2011-01-31,0.23686,0.355801
2011-02-01,0.269321,0.415239
2011-02-02,0.282789,0.433354
2011-02-03,0.312963,0.430246
2011-02-04,0.217728,0.382689
2011-02-07,0.158311,0.334049
2011-02-08,0.205772,0.372395
2011-02-09,0.207184,0.429836
2011-02-10,0.236951,0.423126
2011-02-11,0.266279,0.385919
2011-02-14,0.306924,0.443588
2011-02-15,0.370947,0.358032
2011-02-16,0.426188,0.371102
2011-02-17,0.519645,0.473499
2011-02-18,0.506419,0.435013
2011-02-22,0.521173,0.349656
2011-02-23,0.614989,0.343568
2011-02-24,0.583775,0.290121
2011-02-25,0.660637,0.43675
2011-02-28,0.692235,0.447276
2011-03-01,0.752823,0.477071
2011-03-02,0.827942,0.522447
2011-03-03,0.807773,0.565295
2011-03-04,0.823774,0.602875
2011-03-07,0.801476,0.551917
2011-03-08,0.768355,0.515052
2011-03-09,0.64887,0.507135
2011-03-10,0.568223,0.324139
2011-03-11,0.531081,0.264134
2011-03-14,0.492753,0.212258
2011-03-15,0.340881,-0.108051
2011-03-16,0.296089,-0.144648
2011-03-17,0.487681,0.084723
2011-03-18,0.516942,0.149613
2011-03-21,0.525282,0.202619
2011-03-22,0.522852,0.2262
2011-03-23,0.540571,0.244074
2011-03-24,0.491164,0.307477
2011-03-25,0.537701,0.370462
2011-03-28,0.539961,0.294993
2011-03-29,0.519574,0.255534
2011-03-30,0.507647,0.259553
2011-03-31,0.576489,0.398607
2011-04-01,0.576829,0.398094
2011-04-04,0.566741,0.454233
2011-04-05,0.540548,0.485286
2011-04-06,0.554894,0.449693
2011-04-07,0.622762,0.403017
2011-04-08,0.642871,0.507564
2011-04-11,0.616377,0.488791
2011-04-12,0.583262,0.311633
2011-04-13,0.566443,0.350417
2011-04-14,0.623175,0.389336
2011-04-15,0.639594,0.410482
2011-04-18,0.536115,0.380997
2011-04-19,0.539239,0.447294
2011-04-20,0.586882,0.522873
2011-04-21,0.537762,0.540834
2011-04-25,0.439629,0.551654
2011-04-26,0.472767,0.492434
2011-04-27,0.479289,0.468245
2011-04-28,0.530534,0.456078
2011-04-29,0.499608,0.582757
2011-05-02,0.566036,0.539876
2011-05-03,0.599135,0.450234
2011-05-04,0.571434,0.287933
2011-05-05,0.411816,-0.027542
2011-05-06,0.380126,-0.038059
2011-05-09,0.421609,0.026367
2011-05-10,0.423643,0.095327
2011-05-11,0.292391,-0.065354
2011-05-12,0.239916,-0.039641
2011-05-13,0.236175,-0.047783
2011-05-16,0.234506,-0.067644
2011-05-17,0.214676,-0.057536
2011-05-18,0.295617,0.062732
2011-05-19,0.318061,0.028042
2011-05-20,0.328621,0.051746
2011-05-23,0.378212,-0.061688
2011-05-24,0.401119,-0.04159
2011-05-25,0.408855,0.102717
2011-05-26,0.393583,0.114893
2011-05-27,0.392333,0.163145
2011-05-31,0.384138,0.205024
2011-06-01,0.415475,0.104473
2011-06-02,0.38027,0.11871
2011-06-03,0.387237,0.133269
2011-06-06,0.388747,0.091476
2011-06-07,0.418207,0.116208
2011-06-08,0.404462,0.166963
2011-06-09,0.404368,0.213606
2011-06-10,0.379988,0.163481
2011-06-13,0.347446,0.097975
2011-06-14,0.350944,0.123939
2011-06-15,0.310875,-0.004163
2011-06-16,0.279156,-0.037302
2011-06-17,0.261824,-0.038643
