Asset,E(R),std(R),Sharpe,Sortino,MDD,% +ve,Ave P/L,daily_cost
Commodity,-1.156,0.97,-1.192,-1.823,0.435,0.469,0.93,1.064501
Equity Index,-0.543,0.97,-0.56,-0.758,0.576,0.472,1.006,5.376072
Fixed Income,0.194,0.97,0.201,0.287,0.53,0.486,1.079,0.292045
Forex,-1.215,0.97,-1.253,-1.845,1.248,0.458,0.949,3.176026
All,-1.444,0.97,-1.489,-2.241,0.275,0.456,0.932,2.477161
