year,month,asset,DQN_return,Long_return
2018,1,Commodity,-0.454127,0.328095
2018,2,Commodity,-0.017932,-0.03571
2018,3,Commodity,0.332518,-0.284148
2018,4,Commodity,-0.532481,0.360561
2018,5,Commodity,0.03575,-0.056382
2018,6,Commodity,0.25754,-0.302389
2018,7,Commodity,0.31914,-0.301159
2018,8,Commodity,-0.095266,-0.244328
2018,9,Commodity,-0.013482,-0.011929
2018,10,Commodity,0.15781,-0.095003
2018,11,Commodity,0.182535,-0.157119
2018,12,Commodity,0.37734,-0.245675
2019,1,Commodity,-0.456159,0.277945
2019,2,Commodity,0.026938,-0.127623
2019,3,Commodity,0.02372,-0.083015
2019,4,Commodity,0.148503,-0.193266
2019,5,Commodity,-0.019247,-0.056865
2019,6,Commodity,-0.342445,0.182818
2019,7,Commodity,0.045079,-0.07766
2019,8,Commodity,0.457158,-0.242552
2019,9,Commodity,-0.386807,0.243827
2019,10,Commodity,-0.433683,0.253059
2019,11,Commodity,-0.160699,0.075071
2019,12,Commodity,-0.714952,0.428694
2011,1,Equity Index,-0.168875,0.175091
2011,2,Equity Index,0.121668,0.197493
2011,3,Equity Index,-0.247943,-0.057281
2011,4,Equity Index,0.346959,0.220559
2011,5,Equity Index,0.00603,-0.106137
2011,6,Equity Index,-0.096508,-0.161672
2011,7,Equity Index,-0.050384,-0.201601
2011,8,Equity Index,-0.477577,-0.573676
2011,9,Equity Index,0.565796,-0.271994
2011,10,Equity Index,0.026808,0.322503
2011,11,Equity Index,-0.020503,-0.025345
2011,12,Equity Index,-0.127314,0.059064
2012,1,Equity Index,-0.294213,0.227754
2012,2,Equity Index,0.178036,0.245965
2012,3,Equity Index,0.204048,0.090282
2012,4,Equity Index,-0.170269,-0.154342
2012,5,Equity Index,-0.550838,-0.42925
2012,6,Equity Index,0.190301,0.249742
2012,7,Equity Index,0.034875,0.072114
2012,8,Equity Index,-0.126046,0.146029
2012,9,Equity Index,-0.033054,0.121043
2012,10,Equity Index,0.128434,-0.114246
2012,11,Equity Index,-0.004069,0.110291
2012,12,Equity Index,0.088842,0.09593
2013,1,Equity Index,0.417901,0.39585
2013,2,Equity Index,0.198562,0.036076
2013,3,Equity Index,0.19651,0.239574
2013,4,Equity Index,0.218693,0.062712
2013,5,Equity Index,-0.003766,0.198381
2013,6,Equity Index,0.010543,-0.285313
2013,7,Equity Index,-0.177258,0.457419
2013,8,Equity Index,-0.505249,-0.241808
2013,9,Equity Index,0.364832,0.407021
2013,10,Equity Index,0.257714,0.344828
2013,11,Equity Index,-0.250849,0.201589
