bp_bps,E(R),std(R),Sharpe,Sortino,MDD,% +ve,Ave P/L
1,0.22,0.97,0.227,0.324,0.63,0.505,1.021
20,4.113708818479135e-06,0.015049798150802719,0.004339134807299175,,,,
