date,return,cumulative
2011-01-03,0.0,1.0
2011-01-04,0.006234104800092956,1.006234104800093
2011-01-05,-0.04606828552485505,0.9598786247553153
2011-01-06,0.05280612018251146,1.0105660907747682
2011-01-07,0.05023046277352155,1.0613272931776134
2011-01-10,0.006715031122718679,1.0684541389826918
2011-01-11,-0.02487532186084961,1.0418759983819403
2011-01-12,-0.06393131482513409,0.9752674959206336
2011-01-13,0.00837087181165009,0.9834313351110543
2011-01-14,-0.026413210291541478,0.9574557564494746
2011-01-17,0.008029832371161208,0.9651439656765671
2011-01-18,-0.02182770069778717,0.9440770920635037
2011-01-19,-0.0006163352891314245,0.9434952240360044
2011-01-20,-0.043051607536666855,0.9028762379380868
2011-01-21,0.011743519165271835,0.9134791823421814
2011-01-24,0.014670096986352044,0.9268800105421547
2011-01-25,0.05095705896043712,0.9741110898886018
2011-01-26,-0.07770023293498253,0.8984224312997078
2011-01-27,-0.0060356082426206185,0.892999905468
2011-01-28,0.036589601638324934,0.925674416272136
2011-01-31,-0.017126109654370066,0.9098212147148144
2011-02-01,-0.013396494018982408,0.8976328002535441
2011-02-02,-0.0013931880233757025,0.8963822289868416
2011-02-03,-0.02082479999825966,0.8777152483461964
2011-02-04,-0.03592383714587445,0.8461843487041569
2011-02-07,-0.0016428919088213052,0.8447941592842997
2011-02-08,-0.023040689513249807,0.8253295193576232
2011-02-09,0.03374865227065045,0.8531832783151267
2011-02-10,-0.0318373234595764,0.8260202063131064
2011-02-11,0.019135604938051505,0.8418266026519617
2011-02-14,0.012009166281251486,0.8519362383031903
2011-02-15,0.002688982869162147,0.8542270802536059
2011-02-16,0.0026193591352276792,0.8564646077598271
2011-02-17,0.0004373328242582922,0.8568391678456161
2011-02-18,0.002055425748870785,0.858600337133847
2011-02-21,0.015941164473250415,0.8722874263248859
2011-02-22,0.012437288427772152,0.8831363166380075
2011-02-23,-0.0025863484767229463,0.8808522183707321
2011-02-24,0.005027088886965279,0.8852803407687623
2011-02-25,0.0012180494714957094,0.8863586560199612
2011-02-28,-0.00977719846477252,0.877692551529085
2011-03-01,-0.001147016669227156,0.8766858235420246
2011-03-02,-0.032665890372062564,0.8480481005394594
2011-03-03,-0.08668690069569983,0.7745334390628185
2011-03-04,0.043685573323329494,0.8083693764063677
2011-03-07,-0.016564403717339575,0.7949792197028386
2011-03-08,-0.003358001885798557,0.7923096779839057
2011-03-09,-0.0009768539546131973,0.7915357071416889
2011-03-10,0.002449858589729636,0.7934748576929077
2011-03-11,0.005440056538325844,0.7977914057804972
2011-03-14,-0.026723660569653095,0.7764714990470328
2011-03-15,-0.010154729041485025,0.7685866413657745
2011-03-16,-0.05671910497364298,0.7249930949728094
2011-03-17,0.02222787785106069,0.7411081529307275
2011-03-18,0.011524543895502087,0.7496490863704921
2011-03-21,-0.011952856731398197,0.740688638242282
2011-03-22,0.001079966055288498,0.7414885568291215
2011-03-23,0.02374793169489076,0.7590973764292426
2011-03-24,0.0031459727335221167,0.7614854760775771
2011-03-25,0.001460192024116574,0.7625973910962263
2011-03-28,-0.006247858206549821,0.7578327907279723
2011-03-29,-0.059291149029264016,0.712900013793657
2011-03-30,0.03289252111913654,0.7363490925531977
2011-03-31,-0.022217259855493127,0.7199894334195868
2011-04-01,-0.002183791155863027,0.7184171268625703
2011-04-04,0.005056957048006218,0.7220501314156663
2011-04-05,-0.03817924333017849,0.6944828037517602
2011-04-06,-0.05121585062907628,0.6589142762103479
2011-04-07,0.007624301313500224,0.6639380371919426
2011-04-08,-0.04670434212299937,0.6329292479544574
2011-04-11,-0.005214423822860024,0.6296288866057388
2011-04-12,0.0364147119612805,0.6525566411539886
2011-04-13,0.02204834373296996,0.666944434283384
2011-04-14,-0.005334284049345869,0.6633867632257862
2011-04-15,0.049809512317046056,0.6964297343796463
2011-04-18,0.031630207420183055,0.7184579513316575
2011-04-19,0.01071000462004311,0.7261526393097262
2011-04-20,-0.019952024336638598,0.7116644241781042
2011-04-21,0.002580173056563313,0.7135006415506832
2011-04-25,0.04451831116817874,0.7452644851299317
2011-04-26,0.024843585641293832,0.763779527191672
2011-04-27,-0.02375022899736013,0.7456395885173743
2011-04-28,-0.030027740709828186,0.7232497162903917
2011-04-29,-0.010974961388813587,0.7153120785796343
2011-05-02,-0.0010403668148571575,0.7145678916308136
2011-05-03,-0.007750659980990637,0.7090295188694498
2011-05-04,0.009163095451296187,0.7155264240286372
2011-05-05,-0.10294690509044338,0.6418651931644568
2011-05-06,-0.03584452655198097,0.618857839205281
2011-05-09,-0.03513122720638515,0.5971166038477077
2011-05-10,0.04509733255050624,0.6240449699028566
2011-05-11,-0.026509316144610134,0.607501964507248
2011-05-12,0.026559525160527585,0.6236369282186481
2011-05-13,-0.0014165868101735386,0.6227534923717964
2011-05-16,0.004103103333390083,0.6253087143022275
2011-05-17,-0.0030917992722532973,0.6233753852744142
2011-05-18,4.696230504023374e-05,0.623404660419412
2011-05-19,-0.004511037502186432,0.6205924586172222
2011-05-20,-0.0018958745254880017,0.6194158931842199
2011-05-23,-0.00024255829890390372,0.619265648718855
2011-05-24,0.003890538592155115,0.6216749256239916
2011-05-25,-0.003941202507946876,0.6192247788479947
2011-05-26,-0.006589103580987469,0.6151446426402511
2011-05-27,0.005984037903258748,0.618825691497797
2011-05-30,-0.009438149030835069,0.6129851223973312
2011-05-31,-0.018087931856498728,0.6018974892743607
2011-06-01,-0.05609474768457564,0.5681342014815358
2011-06-02,0.03729913423786224,0.5893251153277163
2011-06-03,-0.020730634742294942,0.5771080316173965
2011-06-06,-0.014103192997068484,0.5689689656673381
2011-06-07,0.0035888960030347108,0.5710109361140725
2011-06-08,0.011295686690363387,0.5774608967451881
