contract,round,date,position,return
AN,1,2011-06-08,-1.0,0.08915341315198398
AN,1,2011-06-09,-1.0,-0.0206228382199189
AN,1,2011-06-10,-1.0,0.05927816358018935
AN,1,2011-06-13,-1.0,-0.04399337696271498
AN,1,2011-06-14,-1.0,-0.05977665493059607
AN,1,2011-06-15,-1.0,0.12138177208548705
AN,1,2011-06-16,1.0,0.026890383511352242
AN,1,2011-06-17,1.0,0.0703974496792142
AN,1,2011-06-20,1.0,-0.029902401279242395
AN,1,2011-06-21,-1.0,0.029995323024615012
AN,1,2011-06-22,-1.0,-0.0016689494691024508
AN,1,2011-06-23,-1.0,0.0714741403178582
AN,1,2011-06-24,-1.0,0.0007933929855493869
AN,1,2011-06-27,-1.0,0.053259400091830784
AN,1,2011-06-28,-1.0,-0.09104223671204609
AN,1,2011-06-29,-1.0,-0.10733919766463154
AN,1,2011-06-30,-1.0,-0.04651123546590854
AN,1,2011-07-01,-1.0,-0.04327393214867243
AN,1,2011-07-05,-1.0,0.07179006753954773
AN,1,2011-07-06,1.0,0.004954498761399432
AN,1,2011-07-07,1.0,0.05743941895561524
AN,1,2011-07-08,1.0,-0.02391820391212948
AN,1,2011-07-11,1.0,-0.07514741928747545
AN,1,2011-07-12,1.0,-0.009470816677597837
AN,1,2011-07-13,1.0,0.0983290206883071
AN,1,2011-07-14,1.0,-0.03217186201835845
AN,1,2011-07-15,1.0,-0.0637541645943921
AN,1,2011-07-18,1.0,-0.018616582459491042
AN,1,2011-07-19,1.0,0.0983696410251869
AN,1,2011-07-20,1.0,0.013099400245145216
AN,1,2011-07-21,1.0,0.07859981338757992
AN,1,2011-07-22,1.0,0.01501431427886067
AN,1,2011-07-25,1.0,-0.00013537531897198673
AN,1,2011-07-26,1.0,0.08130566928032525
AN,1,2011-07-27,1.0,0.039389741474970194
AN,1,2011-07-28,1.0,-0.014005928705650792
AN,1,2011-07-29,1.0,0.009569322417519758
AN,1,2011-08-01,1.0,-0.03596487427272672
AN,1,2011-08-02,1.0,-0.113577992361507
AN,1,2011-08-03,1.0,-0.057717047580006266
AN,1,2011-08-04,1.0,-0.18255366740237697
AN,1,2011-08-05,1.0,-0.01821444493998247
AN,1,2011-08-08,1.0,-0.17667080195812834
AN,1,2011-08-09,1.0,-0.07889269462195599
AN,1,2011-08-10,1.0,0.10791398301852644
AN,1,2011-08-11,1.0,0.02863563961417527
AN,1,2011-08-12,-1.0,0.031123916822044836
AN,1,2011-08-15,-1.0,-0.10148550137891033
AN,1,2011-08-16,-1.0,0.023543575248658775
AN,1,2011-08-17,-1.0,-0.05789154113177262
AN,1,2011-08-18,-1.0,0.1077545905825285
AN,1,2011-08-19,-1.0,-0.010850475381080483
AN,1,2011-08-22,-1.0,-0.019136875029300875
AN,1,2011-08-23,-1.0,-0.04902684544334522
AN,1,2011-08-24,-1.0,0.023896528810687576
AN,1,2011-08-25,-1.0,0.016959124884059044
AN,1,2011-08-26,-1.0,-0.07798980103045831
AN,1,2011-08-29,-1.0,-0.0486790359097721
AN,1,2011-08-30,-1.0,-0.04493441488956858
AN,1,2011-08-31,-1.0,0.011928245348708467
AN,1,2011-09-01,-1.0,-0.035242521658947444
AN,1,2011-09-02,-1.0,0.06419758454283568
AN,1,2011-09-06,-1.0,0.09169305463668355
AN,1,2011-09-07,-1.0,-0.09755406708248125
AN,1,2011-09-08,1.0,0.03714725807673934
AN,1,2011-09-09,1.0,-0.094869615049537
AN,1,2011-09-12,1.0,-0.09972261484318173
AN,1,2011-09-13,1.0,0.03457873102144614
AN,1,2011-09-14,1.0,-0.04012279581436144
AN,1,2011-09-15,1.0,0.04231428284285359
AN,1,2011-09-16,-1.0,0.031771259551545056
AN,1,2011-09-19,-1.0,0.10432694201990521
AN,1,2011-09-20,-1.0,-0.05500119901945831
AN,1,2011-09-21,-1.0,0.07926049175697863
AN,1,2011-09-22,-1.0,0.22846377648887833
AN,1,2011-09-23,-1.0,-0.010512842203397278
AN,1,2011-09-26,-1.0,-0.010850351467934755
AN,1,2011-09-27,-1.0,-0.09905993533644794
AN,1,2011-09-28,-1.0,0.0639611290594537
AN,1,2011-09-29,-1.0,0.04260465070983783
AN,1,2011-09-30,-1.0,0.010085652133288747
AN,1,2011-10-03,-1.0,0.060718493356056766
AN,1,2011-10-04,1.0,0.07600489420931845
AN,1,2011-10-05,1.0,0.10658614992220428
AN,1,2011-10-06,-1.0,0.047809031392063446
AN,1,2011-10-07,-1.0,-0.01979920769474247
AN,1,2011-10-10,-1.0,-0.10319458685047517
AN,1,2011-10-11,-1.0,0.010263965038268782
AN,1,2011-10-12,1.0,-0.08832100515451896
AN,1,2011-10-13,-1.0,-0.0012933883831676776
AN,1,2011-10-14,-1.0,-0.06919407871253487
