ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,1,44,48400,5.617459,0.002921,10.544189,0.003277
DA,1,44,48400,8.122951,0.002921,13.380552,0.003277
GI,1,44,48664,6.563629,0.002921,10.961931,0.003277
JO,1,44,48400,6.678576,0.002921,13.322773,0.003277
KC,1,44,48400,2.355597,0.002921,5.453694,0.003277
KW,1,44,48664,3.027747,0.002921,5.569103,0.003277
LB,1,44,48664,5.25347,0.002921,12.190637,0.003277
NR,1,44,48664,5.345996,0.002921,11.118058,0.003277
SB,1,44,48400,5.137874,0.002921,10.676033,0.003277
ZC,1,44,48664,6.916198,0.002921,12.81129,0.003277
ZF,1,44,48664,1.021678,0.002921,3.921336,0.003277
ZG,1,44,48620,3.186301,0.002921,6.589548,0.003277
ZH,1,44,48532,7.014721,0.002921,12.201262,0.003277
ZI,1,44,48620,4.308316,0.002921,8.933324,0.003277
ZK,1,44,48576,3.221255,0.002921,9.393445,0.003277
ZL,1,44,48664,6.415584,0.002921,14.483497,0.003277
ZN,1,44,48488,1.849116,0.002921,2.472856,0.003277
ZO,1,44,48620,5.327997,0.002921,10.959737,0.003277
ZP,1,44,48620,6.013957,0.002921,11.453595,0.003277
ZR,1,44,48664,3.100271,0.002921,6.213448,0.003277
ZT,1,44,48664,0.372626,0.002921,2.392896,0.003277
ZU,1,44,48444,6.189941,0.002921,6.845388,0.003277
ZW,1,44,48664,4.121353,0.002921,6.863314,0.003277
ZZ,1,44,48664,4.169406,0.002921,8.198016,0.003277
