ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,1,24,26400,0.735437,0.002285,-1.577951,0.003184
DA,1,24,26400,0.106697,0.002201,2.408883,0.003019
GI,1,24,26544,2.203211,0.002298,4.683029,0.002896
JO,1,24,26400,1.475416,0.002362,4.596554,0.003305
KC,1,24,26400,0.718021,0.002259,1.581991,0.002789
KW,1,24,26544,-1.602931,0.002204,0.237835,0.001706
LB,1,24,26544,1.093202,0.002031,3.561946,0.002337
NR,1,24,26544,2.254965,0.00224,7.360568,0.001641
SB,1,24,26400,1.717054,0.002237,13.687177,0.004444
ZC,1,24,26544,1.598515,0.002278,5.042345,0.002606
ZF,1,24,26544,-5.598922,0.002136,-10.202908,0.002452
ZG,1,24,26520,1.158508,0.00221,6.55676,0.002116
ZH,1,24,26472,1.821031,0.002281,3.072071,0.003087
ZI,1,24,26520,1.844744,0.002304,2.94897,0.002003
ZK,1,24,26496,0.537074,0.002366,4.713093,0.002913
ZL,1,24,26544,1.984365,0.002267,3.013635,0.003369
ZN,1,24,26448,-1.210508,0.002184,2.732582,0.004065
ZO,1,24,26520,1.704278,0.002221,7.188065,0.002488
ZP,1,24,26520,3.048027,0.002239,6.876834,0.003465
ZR,1,24,26544,-1.625837,0.002179,-1.341321,0.001946
ZT,1,24,26544,-3.879248,0.002199,-2.752091,0.002755
ZU,1,24,26424,2.094528,0.002225,5.242445,0.002898
ZW,1,24,26544,-1.905552,0.002235,-0.536054,0.002157
ZZ,1,24,26544,0.001781,0.002219,0.038891,0.002317
