cost_bp,All,Commodity,Equity Index,Fixed Income,Forex
1,-0.02884289161529124,-0.5400789258152028,0.18036940017841555,0.7941550453980928,-0.3130660186780474
5,-0.07708329648050403,-0.5612588289084874,0.16703218603484668,0.7337669398010014,-0.3585988494429985
10,-0.13737454325149326,-0.5877342004940889,0.15035984908350733,0.6582857522750897,-0.41549856738579366
15,-0.1976544610966454,-0.614210078473302,0.13368674232806807,0.5828149784145583,-0.4723786938935878
20,-0.2579219360250592,-0.6406864188341501,0.11701301632980428,0.5073610701595505,-0.5292376701091112
25,-0.3181758553601208,-0.667163177558343,0.10033882167264209,0.43193046654534956,-0.5860739403080926
30,-0.37841510784159293,-0.6936403106216465,0.0836643089563599,0.35652959097674014,-0.6428859521098922
35,-0.43863858372738374,-0.7201177739942445,0.06698962878978691,0.2811648485202968,-0.6996721566870403
40,-0.4988451748949822,-0.7465955236411078,0.05031493178400135,0.20584262321723285,-0.7564310089736127
45,-0.5590337749425114,-0.7730735155223569,0.03364036854552932,0.13056927541941407,-0.8131609678723666
