metric,cost_bp,Commodity Project A2C,Commodity Paper Table 3 A2C,Commodity Difference,Equity Index Project A2C,Equity Index Paper Table 3 A2C,Equity Index Difference,Fixed Income Project A2C,Fixed Income Paper Table 3 A2C,Fixed Income Difference,Forex Project A2C,Forex Paper Table 3 A2C,Forex Difference,All Project A2C,All Paper Table 3 A2C,All Difference
E(R),20,-0.23704359599141026,0.072,-0.30904359599141024,0.07244737720587441,0.293,-0.22055262279412557,0.46895724638022357,0.852,-0.3830427536197764,-0.19684763869465985,0.159,-0.35584763869465985,-0.07425192921078122,0.214,-0.28825192921078124
Std(R),20,0.36998380022282323,0.163,0.20698380022282323,0.6191394724983378,0.629,-0.00986052750166222,0.924306719537528,1.345,-0.420693280462472,0.3719456301250749,0.455,-0.0830543698749251,0.2878852817061945,0.221,0.06688528170619448
DD,20,0.24853903333354285,0.098,0.15053903333354285,0.49562960683621327,0.427,0.06862960683621327,0.6027485765753781,0.806,-0.203251423424622,0.24462874335374776,0.267,-0.022371256646252252,0.2007515573968149,0.134,0.0667515573968149
Sharpe,20,-0.6406864188341501,0.44,-1.08068641883415,0.11701301632980428,0.466,-0.34898698367019576,0.5073610701595503,0.633,-0.12563892984044966,-0.529237670109111,0.349,-0.878237670109111,-0.25792193602505914,0.969,-1.2269219360250592
Sortino,20,-0.9537479598759622,0.729,-1.6827479598759623,0.14617241626934427,0.686,-0.5398275837306558,0.7780312797164725,1.057,-0.2789687202835275,-0.8046791067802135,0.592,-1.3966791067802133,-0.3698697543053745,1.601,-1.9708697543053746
MDD,20,2.5682644221261812,0.099,2.469264422126181,1.7530874894978408,0.193,1.5600874894978407,2.122331874961092,0.128,1.9943318749610919,2.3367005150507665,0.081,2.2557005150507665,1.5314884744603967,0.009,1.5224884744603968
Calmar,20,-0.09229719259014993,0.161,-0.25329719259014993,0.0413255913580368,0.214,-0.1726744086419632,0.22096320180312082,0.397,-0.1760367981968792,-0.08424170638332024,0.193,-0.27724170638332024,-0.04848350506649623,0.672,-0.7204835050664963
% + Ret,20,0.4969640354974311,0.487,0.009964035497431134,0.49635701275045535,0.533,-0.03664298724954468,0.5218778486782133,0.517,0.004877848678213281,0.48751702224239674,0.507,-0.01948297775760327,0.5054446460980037,0.538,-0.032555353901996376
Ave P/L,20,0.9116508849944018,1.151,-0.2393491150055982,1.03729505514602,0.965,0.07229505514602008,0.9952686589391927,1.039,-0.04373134106080723,0.9628462519681377,1.034,-0.07115374803186236,0.9373806926742023,1.014,-0.07661930732579769
