cost_bp,All,Commodity,Equity Index,Fixed Income,Forex
1,-0.07259803225515853,-1.6977819388263553,0.9731915906236998,6.3860729692547045,-1.0174172954805865
5,-0.1940320739028287,-1.764339407860083,0.9012201282234725,5.90119561779776,-1.165509350270248
10,-0.34582462596241736,-1.847536244152237,0.8112558002231884,5.295098928476558,-1.3506244187573309
15,-0.497617178022007,-1.9307330804443867,0.7212914722228986,4.689002239155365,-1.5357394872444106
20,-0.6494097300815946,-2.0139299167365468,0.6313271442226154,4.082905549834171,-1.7208545557314905
25,-0.8012022821411832,-2.097126753028697,0.5413628162223336,3.4768088605129743,-1.9059696242185686
30,-0.9529948342007689,-2.180323589320858,0.45139848822205,2.8707121711917787,-2.0910846927056568
35,-1.1047873862603637,-2.2635204256130095,0.3614341602217672,2.2646154818705813,-2.276199761192731
40,-1.2565799383199499,-2.3467172619051597,0.27146983222148524,1.6585187925493876,-2.461314829679812
45,-1.4083724903795383,-2.4299140981973206,0.18150550422119968,1.0524221032281955,-2.646429898166891
