episode,cycle,round,ticker,reward,steps,epsilon_end,mean_loss,last_loss,learn_steps,target_updates,replay_size
4,1,2,DT,-45.6123,2268,0.290004,0.001801,0.000779,1505,1,3000
4,1,2,TY,-42.485327,2240,0.290004,0.001801,0.000779,1505,1,3000
4,1,2,UB,-71.037881,2268,0.290004,0.001801,0.000779,1505,1,3000
4,1,2,US,-24.493368,2240,0.290004,0.001801,0.000779,1505,1,3000
8,2,2,DT,-29.10256,2268,0.280009,0.00097,0.000895,3759,3,3000
8,2,2,TY,-27.730036,2240,0.280009,0.00097,0.000895,3759,3,3000
8,2,2,UB,-44.80342,2268,0.280009,0.00097,0.000895,3759,3,3000
8,2,2,US,-16.012574,2240,0.280009,0.00097,0.000895,3759,3,3000
12,3,2,DT,-25.059948,2268,0.270013,0.000948,0.001183,6013,6,3000
12,3,2,TY,-23.162935,2240,0.270013,0.000948,0.001183,6013,6,3000
12,3,2,UB,-46.241336,2268,0.270013,0.000948,0.001183,6013,6,3000
12,3,2,US,-15.028021,2240,0.270013,0.000948,0.001183,6013,6,3000
16,4,2,DT,-27.945048,2268,0.260018,0.001035,0.000532,8267,8,3000
16,4,2,TY,-23.272124,2240,0.260018,0.001035,0.000532,8267,8,3000
16,4,2,UB,-42.731332,2268,0.260018,0.001035,0.000532,8267,8,3000
16,4,2,US,-14.7296,2240,0.260018,0.001035,0.000532,8267,8,3000
20,5,2,DT,-25.61404,2268,0.250022,0.000873,0.000648,10521,10,3000
20,5,2,TY,-26.248258,2240,0.250022,0.000873,0.000648,10521,10,3000
20,5,2,UB,-45.070917,2268,0.250022,0.000873,0.000648,10521,10,3000
20,5,2,US,-14.296299,2240,0.250022,0.000873,0.000648,10521,10,3000
24,6,2,DT,-19.947241,2268,0.240027,0.000923,0.001214,12775,12,3000
24,6,2,TY,-26.644671,2240,0.240027,0.000923,0.001214,12775,12,3000
24,6,2,UB,-45.080318,2268,0.240027,0.000923,0.001214,12775,12,3000
