ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,1,1,1100,-0.236411,0.002189,-0.236411,0.001677
DA,1,1,1100,-1.401625,0.002189,-1.401625,0.001677
GI,1,1,1106,-0.162273,0.002189,-0.162273,0.001677
JO,1,1,1100,-0.902675,0.002189,-0.902675,0.001677
KC,1,1,1100,-0.410487,0.002189,-0.410487,0.001677
KW,1,1,1106,-0.222444,0.002189,-0.222444,0.001677
LB,1,1,1106,-0.743654,0.002189,-0.743654,0.001677
NR,1,1,1106,0.182042,0.002189,0.182042,0.001677
SB,1,1,1100,-2.700396,0.002189,-2.700396,0.001677
ZC,1,1,1106,0.872704,0.002189,0.872704,0.001677
ZF,1,1,1106,-3.700204,0.002189,-3.700204,0.001677
ZG,1,1,1105,-0.708251,0.002189,-0.708251,0.001677
ZH,1,1,1103,2.30469,0.002189,2.30469,0.001677
ZI,1,1,1105,-1.34766,0.002189,-1.34766,0.001677
ZK,1,1,1104,-1.476262,0.002189,-1.476262,0.001677
ZL,1,1,1106,-1.008179,0.002189,-1.008179,0.001677
ZN,1,1,1102,1.981133,0.002189,1.981133,0.001677
ZO,1,1,1105,-1.848298,0.002189,-1.848298,0.001677
ZP,1,1,1105,-0.148135,0.002189,-0.148135,0.001677
ZR,1,1,1106,0.679404,0.002189,0.679404,0.001677
ZT,1,1,1106,2.108099,0.002189,2.108099,0.001677
ZU,1,1,1101,0.957384,0.002189,0.957384,0.001677
ZW,1,1,1106,-2.530689,0.002189,-2.530689,0.001677
ZZ,1,1,1106,-0.740901,0.002189,-0.740901,0.001677
