date,DQN_cum_return,Long_cum_return
2011-01-03,0.0,0.001595
2011-01-04,-0.0371,0.007418
2011-01-05,-0.324329,-0.100292
2011-01-06,-0.178074,-0.040123
2011-01-07,-0.007638,0.01641
2011-01-10,0.0191,0.023711
2011-01-11,-0.057148,-0.004832
2011-01-12,-0.20267,-0.077404
2011-01-13,-0.09391,-0.069048
2011-01-14,-0.181008,-0.099093
2011-01-17,-0.169994,-0.090586
2011-01-18,-0.274678,-0.130517
2011-01-19,-0.213277,-0.11299
2011-01-20,-0.471789,-0.213036
2011-01-21,-0.404237,-0.199881
2011-01-24,-0.373614,-0.18372
2011-01-25,-0.187381,-0.126565
2011-01-26,-0.421416,-0.21463
2011-01-27,-0.347601,-0.200327
2011-01-28,-0.225168,-0.159024
2011-01-31,-0.341013,-0.204541
2011-02-01,-0.488168,-0.250031
2011-02-02,-0.581821,-0.28725
2011-02-03,-0.616544,-0.268343
2011-02-04,-0.84224,-0.354175
2011-02-07,-0.802605,-0.330233
2011-02-08,-0.941638,-0.38131
2011-02-09,-0.811997,-0.347276
2011-02-10,-0.953418,-0.390005
2011-02-11,-0.8251,-0.340281
2011-02-14,-0.781363,-0.329434
2011-02-15,-0.747738,-0.313725
2011-02-16,-0.694879,-0.287202
2011-02-17,-0.538794,-0.219121
2011-02-18,-0.620732,-0.259198
2011-02-21,-0.467151,-0.191718
2011-02-22,-0.194842,-0.114092
2011-02-23,-0.230325,-0.129511
2011-02-24,-0.186623,-0.110803
2011-02-25,-0.14536,-0.101566
2011-02-28,-0.145797,-0.106105
2011-03-01,-0.122586,-0.105547
2011-03-02,-0.319879,-0.179333
2011-03-03,-0.638709,-0.319691
2011-03-04,-0.409776,-0.240454
2011-03-07,-0.442604,-0.25917
2011-03-08,-0.556326,-0.293532
2011-03-09,-0.402569,-0.239917
2011-03-10,-0.186448,-0.160238
2011-03-11,-0.164764,-0.153074
2011-03-14,-0.092556,-0.13321
2011-03-15,0.070494,-0.063353
2011-03-16,0.364205,0.058476
2011-03-17,0.191857,-0.02126
2011-03-18,0.104439,-0.059977
2011-03-21,0.001403,-0.114584
2011-03-22,-0.012278,-0.123351
2011-03-23,0.010121,-0.109893
2011-03-24,-0.077184,-0.159805
2011-03-25,-0.215167,-0.200174
2011-03-28,-0.209855,-0.200069
2011-03-29,-0.378495,-0.267029
2011-03-30,-0.27446,-0.230113
2011-03-31,-0.320459,-0.255525
2011-04-01,-0.321394,-0.258429
2011-04-04,-0.30211,-0.253282
2011-04-05,-0.430148,-0.296922
2011-04-06,-0.607806,-0.355118
2011-04-07,-0.611133,-0.346845
2011-04-08,-0.71444,-0.400016
2011-04-11,-0.72701,-0.406356
2011-04-12,-0.487766,-0.315622
2011-04-13,-0.371304,-0.275697
2011-04-14,-0.427164,-0.30071
2011-04-15,-0.158136,-0.207155
2011-04-18,0.098338,-0.099835
2011-04-19,0.092486,-0.114863
2011-04-20,-0.028114,-0.161804
2011-04-21,-0.014907,-0.129822
2011-04-25,0.164122,-0.080036
2011-04-26,0.272017,-0.024054
2011-04-27,0.164682,-0.090836
2011-04-28,0.19849,-0.026935
2011-04-29,0.221039,0.012243
2011-05-02,0.240795,0.012105
2011-05-03,0.2871,0.02024
2011-05-04,0.328088,0.009362
2011-05-05,0.39925,0.125304
2011-05-06,0.402181,0.163923
2011-05-09,0.413872,0.203214
2011-05-10,0.38982,0.151849
2011-05-11,0.38982,0.203968
2011-05-12,0.38982,0.160967
2011-05-13,0.38982,0.222496
2011-05-16,0.38982,0.235083
2011-05-17,0.38982,0.258705
2011-05-18,0.38982,0.199359
2011-05-19,0.38982,0.206881
2011-05-20,0.38982,0.262698
2011-05-23,0.38982,0.313152
2011-05-24,0.38982,0.307073
2011-05-25,0.38982,0.312187
2011-05-26,0.38982,0.411538
2011-05-27,0.38982,0.420154
2011-05-30,0.38982,0.421558
2011-05-31,0.38982,0.395398
2011-06-01,0.38982,0.516734
2011-06-02,0.38982,0.424323
2011-06-03,0.38982,0.437347
2011-06-06,0.38982,0.450661
2011-06-07,0.38982,0.400795
2011-06-08,0.38982,0.481937
2011-06-09,0.38982,0.462022
2011-06-10,0.38982,0.552972
2011-06-13,0.38982,0.527008
2011-06-14,0.38982,0.424232
2011-06-15,0.515696,0.572145
2011-06-16,0.589892,0.624828
2011-06-17,0.549323,0.573518
2011-06-20,0.54381,0.55942
2011-06-21,0.507688,0.529935
2011-06-22,0.504753,0.546982
2011-06-23,0.600189,0.672146
2011-06-24,0.613547,0.730008
2011-06-27,0.514891,0.645445
2011-06-28,0.403094,0.511256
2011-06-29,0.347814,0.44924
2011-06-30,0.303736,0.390131
2011-07-01,0.198714,0.364206
2011-07-04,0.198714,0.365717
2011-07-05,0.328059,0.431176
2011-07-06,0.409256,0.489236
2011-07-07,0.309923,0.44738
2011-07-08,0.616457,0.627881
2011-07-11,0.807136,0.790642
2011-07-12,0.83711,0.783088
2011-07-13,0.876312,0.776758
2011-07-14,0.759444,0.742987
2011-07-15,0.709542,0.791173
2011-07-18,0.709542,0.797266
2011-07-19,0.709542,0.815564
2011-07-20,0.709542,0.730593
2011-07-21,0.709542,0.616942
2011-07-22,0.709542,0.671674
2011-07-25,0.653523,0.673306
2011-07-26,0.763259,0.728028
2011-07-27,0.790366,0.755368
2011-07-28,0.888358,0.785141
2011-07-29,1.322158,0.932534
2011-08-01,1.410339,0.994987
2011-08-02,1.515677,1.116496
2011-08-03,1.496119,1.095267
2011-08-04,1.496119,1.260473
2011-08-05,1.496119,1.090613
2011-08-08,1.496119,1.296593
2011-08-09,1.496119,1.347696
2011-08-10,1.496119,1.412513
2011-08-11,1.496119,1.302591
2011-08-12,1.496119,1.336398
2011-08-15,1.444528,1.308218
2011-08-16,1.517737,1.361382
2011-08-17,1.610582,1.403652
2011-08-18,1.788388,1.481961
2011-08-19,1.811567,1.4836
2011-08-22,1.799815,1.474339
2011-08-23,1.726769,1.441319
2011-08-24,1.670102,1.395566
2011-08-25,1.677631,1.437789
2011-08-26,1.708583,1.466027
2011-08-29,1.575257,1.391545
2011-08-30,1.719893,1.466118
2011-08-31,1.600854,1.402865
2011-09-01,1.750321,1.482651
2011-09-02,2.003283,1.599421
2011-09-05,2.263927,1.732519
2011-09-06,2.24796,1.704543
2011-09-07,2.165833,1.673321
2011-09-08,2.109536,1.708093
2011-09-09,1.954345,1.780286
2011-09-12,1.869608,1.774108
2011-09-13,1.927102,1.724607
2011-09-14,1.958048,1.686271
2011-09-15,2.004065,1.63089
2011-09-16,1.954298,1.66483
2011-09-19,1.890798,1.751013
2011-09-20,1.869491,1.752829
2011-09-21,1.796659,1.791066
2011-09-22,1.7562,1.892443
2011-09-23,1.786503,1.822011
2011-09-26,1.867382,1.742405
2011-09-27,2.030379,1.658277
2011-09-28,2.044242,1.652146
2011-09-29,1.945588,1.672734
2011-09-30,1.914703,1.723383
2011-10-03,1.78806,1.83547
2011-10-04,1.751177,1.831162
2011-10-05,1.774716,1.744585
2011-10-06,1.753897,1.674664
2011-10-07,1.812208,1.645678
2011-10-10,1.719185,1.525205
2011-10-11,1.711589,1.556585
2011-10-12,1.470588,1.495958
2011-10-13,1.669767,1.551347
2011-10-14,1.491255,1.501705
2011-10-17,1.811712,1.59082
2011-10-18,1.837695,1.598046
2011-10-19,1.847553,1.604349
2011-10-20,1.830104,1.588163
2011-10-21,1.77782,1.561367
2011-10-24,1.751282,1.543891
2011-10-25,1.934869,1.62315
2011-10-26,1.862862,1.587208
2011-10-27,1.476509,1.438056
2011-10-28,1.633545,1.498143
2011-10-31,2.061366,1.641565
2011-11-01,2.370152,1.760393
2011-11-02,2.32065,1.74383
2011-11-03,2.214477,1.702777
2011-11-04,2.364593,1.747901
2011-11-07,2.399474,1.768602
2011-11-08,2.24937,1.712864
2011-11-09,2.549163,1.818259
2011-11-10,2.422509,1.764883
2011-11-11,2.30653,1.705758
2011-11-14,2.355566,1.783663
2011-11-15,2.343469,1.773091
2011-11-16,2.359923,1.77684
2011-11-17,2.43101,1.784974
2011-11-18,2.353474,1.724132
2011-11-21,2.416095,1.757891
2011-11-22,2.406276,1.780397
2011-11-23,2.356158,1.754693
2011-11-24,2.323157,1.713795
2011-11-25,2.264708,1.675578
2011-11-28,2.265051,1.674433
2011-11-29,2.196895,1.63805
2011-11-30,2.182785,1.624021
2011-12-01,2.274261,1.655402
2011-12-02,2.307086,1.702988
2011-12-05,2.211648,1.660544
2011-12-06,2.203385,1.652407
2011-12-07,2.297784,1.714004
2011-12-08,2.407389,1.769723
2011-12-09,2.239545,1.690952
2011-12-12,2.364425,1.755395
2011-12-13,2.425933,1.783791
2011-12-14,2.551857,1.846166
2011-12-15,2.537753,1.838238
2011-12-16,2.565034,1.889134
2011-12-19,2.552026,1.899787
2011-12-20,2.502103,1.824805
2011-12-21,2.505328,1.804359
2011-12-22,2.510845,1.809121
2011-12-23,2.498738,1.75992
2011-12-27,2.519022,1.786182
2011-12-28,2.589082,1.850361
2011-12-29,2.587206,1.873727
2011-12-30,2.60205,1.904258
2012-01-03,2.588083,1.829487
2012-01-04,2.588083,1.805604
2012-01-05,2.588083,1.830594
2012-01-06,2.611014,1.866338
2012-01-09,2.604635,1.86359
2012-01-10,2.590399,1.839687
2012-01-11,2.590399,1.90664
2012-01-12,2.590399,1.885631
2012-01-13,2.590399,1.962605
2012-01-16,2.590399,1.971016
2012-01-17,2.590399,1.961479
2012-01-18,2.590399,1.923954
2012-01-19,2.590399,1.854761
2012-01-20,2.590399,1.784877
