ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CA,2,22,33000,17.540527,0.002792,27.537824,0.002168
EN,2,22,33000,-0.712331,0.002788,5.572694,0.002878
ER,2,22,33000,17.14067,0.002719,28.427265,0.002717
ES,2,22,33000,21.750184,0.002758,33.673711,0.002116
LX,2,22,33000,14.485699,0.002757,22.075992,0.002256
MD,2,22,33000,18.39653,0.002737,28.01237,0.0025
SC,2,22,33000,21.225141,0.002774,28.427831,0.00274
SP,2,22,33000,21.595887,0.002765,28.072961,0.003033
XU,2,22,33000,17.328082,0.002775,22.948693,0.00246
XX,2,22,33000,14.445527,0.00279,21.717895,0.002676
YM,2,22,33000,16.387993,0.002742,27.930699,0.002895
