E(R),Std(R),DD,Sharpe,Sortino,MDD,Calmar,Ticker,Strategy
0.11173784458218676,0.3089312790934437,0.22497115877664714,0.36169158691240505,0.49667630815344127,-0.44339750371734404,0.2520037745936818,CL=F,Long
0.03580147286167782,0.2932908753988638,0.22852555736773866,0.1220681441691265,0.15666288389821897,-0.4867964302271976,0.07354506039612607,CL=F,Sign(R)
0.14490673562482342,0.22487324451360624,0.16145222783555202,0.6443929598572393,0.8975208181854196,-0.1998185344797283,0.7251916645376272,CL=F,MACD
-0.0843312530843139,0.08901042268360103,0.07366579164445661,-0.9474312169495045,-1.1447817392818296,-0.28232928953013564,-0.2986982088350151,CL=F,DQN
-0.012737623742466288,0.10224129390456758,0.06937727847114988,-0.12458394505800792,-0.18359935735679156,-0.1845969307167699,-0.06900235931880055,CL=F,A2C
0.06384885914027488,0.11164620451625296,0.07771029120215348,0.5718856222378795,0.8216268161211772,-0.1369758136759464,0.46613235889459104,GC=F,Long
-0.00014376529398730977,0.10492857524504734,0.07369795841700323,-0.0013701252842856601,-0.001950736452885796,-0.21603227147007445,-0.000665480638651826,GC=F,Sign(R)
0.08881459773216993,0.10591598147097037,0.06318401004911321,0.8385382120687084,1.4056499051442595,-0.08643926683972232,1.0274797667691005,GC=F,MACD
-0.06713829441919339,0.09878983865129412,0.06895457426148005,-0.6796072889254982,-0.9736597627968927,-0.2509349012457692,-0.2675526365040676,GC=F,DQN
-0.02357572673529415,0.029466665196581008,0.024193654076452933,-0.8000812639643261,-0.9744591148072917,-0.09508611992109285,-0.2479407799462051,GC=F,A2C
0.025065269363811246,0.19645826107565886,0.1547509718074637,0.12758572343342822,0.16197164432024808,-0.25454157084572293,0.09847220350110611,SI=F,Long
-0.015211167714871333,0.1777584256901613,0.12678180799864885,-0.08557213339290534,-0.11997910390293096,-0.31291433415837044,-0.048611284477536085,SI=F,Sign(R)
0.019408511751634917,0.04652793189971429,0.03796751202513564,0.41713678126652554,0.5111873471926709,-0.057913603082028024,0.3351287213842484,SI=F,MACD
0.0028958549721054827,0.08781600472270112,0.07100204160769748,0.03297639173234764,0.04078551695887484,-0.13125411309332596,0.02206296552433702,SI=F,DQN
-0.05282988007041392,0.10848934717683084,0.08394193099320953,-0.486959148019432,-0.6293622203507278,-0.2752111244778165,-0.1919612812550835,SI=F,A2C
0.11177241510363181,0.18977512048817222,0.12048086151535524,0.5889729634533314,0.927719255139842,-0.23701789833550246,0.4715779520811388,HG=F,Long
0.020328285767166117,0.18037954722933713,0.12742146499079543,0.11269728790992276,0.15953580323876024,-0.24849816393507762,0.08180457129042235,HG=F,Sign(R)
0.0069639161495627265,0.007956556078109467,0.005497689857262326,0.8752425146254234,1.266698618941472,-0.0075875798733126215,0.917804657853623,HG=F,MACD
-0.1429459796493872,0.09939808844295382,0.08177825426255067,-1.4381159827980619,-1.7479705447178706,-0.40131593613815353,-0.3561931305916989,HG=F,DQN
-0.02273489753488085,0.09024450175689563,0.07636277742362159,-0.2519255698937211,-0.2977222450770652,-0.17710960641533746,-0.12836625858433412,HG=F,A2C
-0.022454102812864876,0.45402756110340364,0.3217470223725871,-0.04945537393874424,-0.0697880671817461,-0.5720487949239353,-0.03925207606783014,NG=F,Long
-0.04359237432369827,0.4250473098924523,0.3214358307881147,-0.10255887593954716,-0.1356176572375768,-0.5213027947243281,-0.08362198469845247,NG=F,Sign(R)
0.0199624533934154,0.07327584491862153,0.0624163163758066,0.27242883948435176,0.31982748346156986,-0.05671326081328376,0.35198916632809196,NG=F,MACD
-0.033261575648069114,0.08878818677116271,0.06745790637558861,-0.37461712934622127,-0.49307156766587223,-0.1601747897603719,-0.20765799473081756,NG=F,DQN
-0.005656777090744543,0.009592096090603724,0.0074266993675693544,-0.5897331550176858,-0.7616811736646235,-0.028875688205182423,-0.195901031017827,NG=F,A2C
0.051631865596118424,0.21154409000207322,0.1393928183863265,0.24407141601361876,0.3704054928642089,-0.2506871907641547,0.20596132350732446,ZC=F,Long
-0.2315761314809309,0.20366617950944696,0.1416459323810384,-1.1370377351738428,-1.634894328331105,-0.5938529610890723,-0.38995533685012085,ZC=F,Sign(R)
0.05899126029984624,0.20096101831945345,0.14443631482882863,0.2935457871042036,0.4084240197470888,-0.18167637818750768,0.32470517569962526,ZC=F,MACD
-0.13873572711009802,0.09373393864425941,0.08575312818910921,-1.4801013284700446,-1.6178503343242199,-0.3846755289046081,-0.3606564927723846,ZC=F,DQN
0.02872805693039604,0.10111725228181576,0.06678230473826247,0.2841063842432188,0.4301746853899233,-0.15798480299086218,0.18184063521639907,ZC=F,A2C
0.0033820186011655757,0.16866875044121843,0.10626252866286079,0.02005124596179551,0.03182701036501502,-0.2641860465116203,0.01280165491638415,ZS=F,Long
-0.16795804460954855,0.16185318174588093,0.11119501786288145,-1.0377185224152876,-1.5104817449345043,-0.4923255250897823,-0.34115242060406903,ZS=F,Sign(R)
0.05720869308308922,0.161606459941234,0.1188989466904723,0.3540000387601609,0.48115390989980494,-0.15112772027334442,0.3785453322502051,ZS=F,MACD
-0.08000050490142414,0.08631170982818331,0.06262965039744123,-0.9268789259380611,-1.2773583182047048,-0.25016455130394405,-0.3197915311519313,ZS=F,DQN
-0.11270797303835063,0.06857084292061649,0.0562253450898228,-1.6436719783192848,-2.0045759231587463,-0.3122169020413896,-0.3609925417279597,ZS=F,A2C
0.1264100595954491,0.2776555523868354,0.15532650961029595,0.4552765414153577,0.813834418301188,-0.281872971719979,0.44846463576872714,ZW=F,Long
-0.15734554352537494,0.2694330766671867,0.1690520457949147,-0.583987480199893,-0.9307520816178617,-0.5160444390293383,-0.304906964643077,ZW=F,Sign(R)
0.13238385219031468,0.27097841769038883,0.17870075378127867,0.48854020670226284,0.7408130597610477,-0.18734959629312878,0.7066140243141265,ZW=F,MACD
0.010544710318376966,0.10617928095961726,0.07070023628962269,0.09931043253520801,0.14914674790025714,-0.16052424176442565,0.06568920807519937,ZW=F,DQN
-0.0005176129409785193,0.019549134279938582,0.015561725580236071,-0.02647753775519851,-0.03326192447680131,-0.03250332770770033,-0.01592492146137677,ZW=F,A2C
