Ticker,Strategy,Sharpe,Return,MDD
ES=F,Long,0.9089480579607406,0.1382720522562929,-0.20429833503227823
ES=F,MACD,0.367926737006892,0.06749930569520399,-0.2295934395442224
ES=F,DQN,0.20368387761959347,0.042349710843641454,-0.17299239914752584
ES=F,A2C,-1.1400355013171415,-0.12546575429859905,-0.3563886281733419
CL=F,Long,0.2969522699397442,0.11173784458218676,-0.44339750371734404
CL=F,MACD,-0.144892612867576,-0.013348597010745316,-0.36982072285807027
CL=F,DQN,-1.475037396100712,-0.37451522812545657,-0.7792671052410871
CL=F,A2C,-0.40560583780138537,-0.09514138582078309,-0.47907522017809745
GC=F,Long,0.3927483189443449,0.06384885914027488,-0.1369758136759464
GC=F,MACD,0.13384654051177017,0.03475361049024459,-0.14881245530899018
GC=F,DQN,0.8084666508157501,0.10521324775922307,-0.18951664340083535
GC=F,A2C,-1.1436194093594116,-0.09164248166306274,-0.31169468093811253
