Ticker,Rows,Price_Min,Price_Max,Price_Ratio,Ret_Min_%,Ret_Max_%,Gaps_>5%,Gaps_>10%,Gaps_>50%,Gaps_>100%,MaxGap_Date,MaxGap_%,Issue
AD,450,71.83,165505.76,2304.1,-100.0,29024.9,325,323,323,162,01/21/2020,29024.9,CRITICAL (>100% gaps)
TA,435,129.88,510860305.43,3933476.8,-100.0,50793927.9,330,311,298,149,12/30/2019,50793927.9,CRITICAL (>100% gaps)
S_,266,897.00,2034095.77,2267.7,-99.9,134357.3,88,49,41,21,02/12/2019,134357.3,CRITICAL (>100% gaps)
SP,9943,195.28,4525.85,23.2,-95.6,127.8,8516,7010,768,7,11/23/1998,127.8,CRITICAL (>100% gaps)
SM,154,300.80,151006.99,502.0,-99.8,47402.9,5,5,3,2,02/13/2020,47402.9,CRITICAL (>100% gaps)
SI,379,1444.90,1395021.10,965.5,-99.8,41802.7,227,217,214,107,08/31/2020,41802.7,CRITICAL (>100% gaps)
SF,372,102.30,223640.22,2186.1,-99.9,101904.8,241,207,200,100,06/20/2019,101904.8,CRITICAL (>100% gaps)
SC,6940,562.10,4525.85,8.1,-86.9,127.8,6130,5270,704,7,11/23/1998,127.8,CRITICAL (>100% gaps)
SB,12831,6.80,1465.64,215.5,-97.0,10250.6,11662,10328,3170,688,01/03/1975,10250.6,CRITICAL (>100% gaps)
RL,3994,340.11,871.68,2.6,-60.0,107.2,3402,2640,257,4,04/09/2007,107.2,CRITICAL (>100% gaps)
PL,428,326.90,1779157.20,5442.5,-99.9,144878.4,313,293,289,144,04/12/2019,144878.4,CRITICAL (>100% gaps)
O_,269,20.78,311.81,15.0,-91.4,1055.0,68,48,47,23,01/29/2020,1055.0,CRITICAL (>100% gaps)
NR,8568,886.90,38571.70,43.5,-80.1,3507.4,7303,6137,974,411,02/16/1988,3507.4,CRITICAL (>100% gaps)
NK,8985,6434.00,58871.00,9.1,-76.5,154.1,7592,6287,621,73,06/01/2015,154.1,CRITICAL (>100% gaps)
NG,501,2.98,3109277223620.92,1042681832200.2,-100.0,866176268569.5,435,423,414,205,11/21/2019,866176268569.5,CRITICAL (>100% gaps)
ND,4827,913.95,6029.05,6.6,-81.3,370.9,4297,3932,1256,164,09/06/2000,370.9,CRITICAL (>100% gaps)
ZW,14402,512.21,74651.78,145.7,-72.6,4694.1,12799,11235,1773,709,12/26/1972,4694.1,CRITICAL (>100% gaps)
MD,8535,232.75,3634.17,15.6,-92.9,142.0,7135,5819,741,16,02/20/2013,142.0,CRITICAL (>100% gaps)
UA,435,0.00,2738228.82,4346394960.2,-100.0,276588770093.9,324,310,298,149,01/04/2021,276588770093.9,CRITICAL (>100% gaps)
W_,14472,419.25,31740.74,75.7,-72.6,977.1,11243,9936,2013,916,12/26/1972,977.1,CRITICAL (>100% gaps)
XU,6348,1092.57,6112.55,5.6,-79.7,114.1,5413,4623,465,2,02/29/2024,114.1,CRITICAL (>100% gaps)
YM,6044,6035.74,50592.98,8.4,-85.1,138.7,5064,3920,504,3,02/29/2024,138.7,CRITICAL (>100% gaps)
ZU,137,0.70,93.24,133.2,-99.1,7564.2,12,6,2,1,09/11/2025,7564.2,CRITICAL (>100% gaps)
ZT,13918,37.62,251.88,6.7,-82.4,113.1,10836,8158,793,2,10/01/1979,113.1,CRITICAL (>100% gaps)
ZS,14409,215.29,2458.54,11.4,-67.3,332.6,12359,10182,1550,329,06/04/1973,332.6,CRITICAL (>100% gaps)
ZR,9872,1003.40,48723.90,48.6,-80.1,3885.7,8195,6764,973,411,12/31/1987,3885.7,CRITICAL (>100% gaps)
ZP,13369,344.00,3083.30,9.0,-83.6,469.3,11269,9226,1893,311,02/29/2008,469.3,CRITICAL (>100% gaps)
ZO,12906,95.44,4203.69,44.0,-87.1,1146.3,11433,10016,2202,732,07/06/1976,1146.3,CRITICAL (>100% gaps)
ZN,8847,2.60,27122.13,10451.7,-95.5,624508.2,8397,7934,3005,571,01/15/1991,624508.2,CRITICAL (>100% gaps)
ZM,14411,14.15,466.17,32.9,-95.2,683.3,12632,10697,2284,500,05/29/1973,683.3,CRITICAL (>100% gaps)
LX,9142,1190.00,10915.50,9.2,-84.6,120.5,7302,5377,472,1,01/20/1992,120.5,CRITICAL (>100% gaps)
ZL,14410,6.80,264.04,38.8,-88.9,1115.3,12540,10821,2475,879,11/22/1974,1115.3,CRITICAL (>100% gaps)
ZI,13375,128.70,41119.70,319.5,-95.8,4083.8,11701,10049,2129,607,12/18/1973,4083.8,CRITICAL (>100% gaps)
ZH,1120,3.26,338.48,103.8,-98.2,6392.3,914,732,113,29,03/12/2024,6392.3,CRITICAL (>100% gaps)
ZG,12879,478.70,6535.20,13.7,-73.2,382.9,10545,8222,998,203,01/21/1980,382.9,CRITICAL (>100% gaps)
ZF,12157,96.06,377.14,3.9,-73.0,120.4,8839,6185,568,15,05/31/2005,120.4,CRITICAL (>100% gaps)
ZD,4319,5681.59,18284.00,3.2,-53.3,108.9,3685,2991,95,2,02/20/2013,108.9,CRITICAL (>100% gaps)
ZC,14163,316.56,20423.81,64.5,-66.9,2490.8,12561,10726,1614,681,11/07/1973,2490.8,CRITICAL (>100% gaps)
ZB,10354,8.87,323.19,36.4,-96.4,518.9,9326,8294,2700,560,04/02/2024,518.9,CRITICAL (>100% gaps)
ZA,10858,97.38,3329.33,34.2,-93.0,907.4,9913,8946,3000,703,01/03/2001,907.4,CRITICAL (>100% gaps)
ZK,9356,84.08,626.78,7.5,-84.9,439.8,7918,6662,1474,349,04/09/2007,439.8,CRITICAL (>100% gaps)
LH,164,0.00,549597973549.62,549597973549625.0,-100.0,744933942853.7,52,38,10,3,12/02/2020,744933942853.7,CRITICAL (>100% gaps)
MW,11385,328.68,2836.60,8.6,-61.7,395.6,9856,8260,990,303,02/25/2008,395.6,CRITICAL (>100% gaps)
LB,13158,234.00,41187.90,176.0,-91.3,7653.5,11759,10486,2901,792,06/20/1974,7653.5,CRITICAL (>100% gaps)
ER,5909,356.24,2755.53,7.7,-85.3,139.1,5008,4091,738,18,02/20/2013,139.1,CRITICAL (>100% gaps)
EN,6743,1105.33,26754.28,24.2,-94.0,293.7,5949,5357,1327,38,02/29/2024,293.7,CRITICAL (>100% gaps)
LC,477,113.42,3160107453.00,27860766.6,-100.0,8875022.0,410,384,374,187,09/04/2019,8875022.0,CRITICAL (>100% gaps)
ED,892,30.97,99.55,3.2,-68.8,220.8,687,503,42,15,04/17/2020,220.8,CRITICAL (>100% gaps)
DT,9212,44.37,166.30,3.7,-66.4,104.8,5254,2617,363,1,05/01/2015,104.8,CRITICAL (>100% gaps)
DJ,4451,5690.59,18284.00,3.2,-54.6,108.5,3809,3062,149,2,02/20/2013,108.5,CRITICAL (>100% gaps)
DA,7174,7.31,39.63,5.4,-71.0,286.9,6380,5584,1339,262,01/02/2008,286.9,CRITICAL (>100% gaps)
ES,7192,675.26,7069.28,10.5,-83.2,157.7,6296,5263,588,3,02/29/2024,157.7,CRITICAL (>100% gaps)
C_,99,368.00,795076.11,2160.5,-35.4,215953.3,54,35,1,1,09/18/2019,215953.3,CRITICAL (>100% gaps)
CR,6578,305.96,775.16,2.5,-46.2,107.0,5000,3379,39,1,02/29/2008,107.0,CRITICAL (>100% gaps)
CL,9309,12.76,840.41,65.9,-85.3,385.3,8196,7176,2205,457,04/22/1985,385.3,CRITICAL (>100% gaps)
CC,11326,775.00,22788.00,29.4,-85.3,1223.4,9435,7809,1434,663,01/26/1981,1223.4,CRITICAL (>100% gaps)
