Ticker,Rows,Price_Min,Price_Max,Price_Ratio,Ret_Min_%,Ret_Max_%,Gaps_>5%,Gaps_>10%,Gaps_>50%,Gaps_>100%,MaxGap_Date,MaxGap_%,Issue
CA,6958,1484.32,8504.72,5.7,-76.5,130.1,5985,4938,543,4,02/29/2024,130.1,CRITICAL (>100% gaps)
BO,486,26.78,1127832.20,42114.7,-100.0,813601.5,401,395,391,195,05/31/2019,813601.5,CRITICAL (>100% gaps)
BG,112,0.01,4132198570.13,413219857013.0,-100.0,404364179.3,73,51,3,1,03/27/2026,404364179.3,CRITICAL (>100% gaps)
AX,7195,3063.20,25785.30,8.4,-78.4,133.9,6472,5594,679,10,03/13/2006,133.9,CRITICAL (>100% gaps)
CT,13361,34.23,511.46,14.9,-70.0,243.6,11747,9841,1749,586,12/27/1973,243.6,CRITICAL (>100% gaps)
FA,439,0.00,123.09,1641237.1,-100.0,12443350.7,309,304,304,152,01/06/2020,12443350.7,CRITICAL (>100% gaps)
ZZ,14169,27.69,418.07,15.1,-73.8,279.8,12174,10277,1883,229,02/29/1980,279.8,CRITICAL (>100% gaps)
HS,7005,4937.02,30650.77,6.2,-80.3,185.8,6020,5016,860,31,04/09/2008,185.8,CRITICAL (>100% gaps)
FC,16,0.00,142.88,142875.0,-100.0,550.0,15,15,12,7,05/26/2020,550.0,CRITICAL (>100% gaps)
JO,13348,45.24,521.56,11.5,-82.2,529.7,11826,10272,2280,544,11/26/2024,529.7,CRITICAL (>100% gaps)
HO,540,153.15,10141782242733800.00,66221235669172.7,-100.0,2106814139845691.8,499,482,455,220,10/30/2018,2106814139845691.8,CRITICAL (>100% gaps)
KW,12394,506.87,8324.46,16.4,-67.5,843.1,10852,9355,1331,523,10/22/1979,843.1,CRITICAL (>100% gaps)
HG,448,218.48,2793427553.25,12785735.8,-100.0,967929136.1,280,198,116,52,12/03/2020,967929136.1,CRITICAL (>100% gaps)
KC,13086,83.08,5029.04,60.5,-80.7,746.8,11931,10790,3098,974,02/16/1977,746.8,CRITICAL (>100% gaps)
FX,1076,112.83,162948.16,1444.1,-99.3,111541.2,1012,965,727,308,03/27/2026,111541.2,CRITICAL (>100% gaps)
JN,12153,62.81,292.09,4.7,-50.4,232.6,9127,6265,491,355,10/30/1978,232.6,CRITICAL (>100% gaps)
GI,8368,207.55,1926.81,9.3,-64.7,149.4,6639,5252,751,21,04/24/2023,149.4,CRITICAL (>100% gaps)
GC,446,1295.60,15855428600.00,12237904.1,-100.0,2452135.0,357,329,317,159,12/30/2019,2452135.0,CRITICAL (>100% gaps)
GS,9150,36.99,125.63,3.4,-62.1,43.9,5492,2602,354,0,03/30/1990,-62.1,SEVERE (>50% gaps)
SN,12648,74.22,241.31,3.3,-57.5,91.7,8440,5270,81,0,03/08/1988,91.7,SEVERE (>50% gaps)
MP,7759,0.01,0.06,4.3,-75.0,85.8,5614,4047,440,0,02/29/2000,85.8,SEVERE (>50% gaps)
XX,5778,1011.63,4744.00,4.7,-73.3,94.4,4822,3714,442,0,02/29/2024,94.4,SEVERE (>50% gaps)
BN,12669,64.60,213.16,3.3,-55.3,90.1,8495,5173,45,0,03/08/1988,90.1,SEVERE (>50% gaps)
FN,12876,78.80,216.28,2.7,-56.7,87.1,9391,5809,108,0,03/08/1988,87.1,SEVERE (>50% gaps)
TY,10884,27.16,140.89,5.2,-77.8,74.6,6087,3168,370,0,06/20/1983,-77.8,SEVERE (>50% gaps)
AN,9642,32.53,101.24,3.1,-49.6,87.7,6753,4204,87,0,10/24/2011,87.7,SEVERE (>50% gaps)
FB,9363,52.23,129.20,2.5,-57.1,51.7,3899,1471,116,0,06/20/1989,-57.1,SEVERE (>50% gaps)
DX,10209,70.19,163.72,2.3,-34.7,67.1,6180,3404,114,0,01/28/1986,67.1,SEVERE (>50% gaps)
CB,7934,48.07,147.27,3.1,-60.1,41.2,4643,2016,339,0,06/24/1994,-60.1,SEVERE (>50% gaps)
BC,89,0.01,112.57,11257.0,-100.0,100.0,52,42,4,0,12/05/2025,100.0,MODERATE (>10% gaps)
UB,6913,78.24,134.57,1.7,-35.1,24.5,2189,864,0,0,05/02/2000,-35.1,MODERATE (>10% gaps)
CN,12150,59.62,111.71,1.9,-29.3,47.9,5746,2062,0,0,02/29/2008,47.9,MODERATE (>10% gaps)
PA,187,27.51,416405538.98,15136515.4,-100.0,11.7,43,3,1,0,03/25/2020,-100.0,MINOR (>5% gaps)
EC,10408,66.30,97.18,1.5,-31.4,15.5,965,403,0,0,02/12/1982,-31.4,MINOR (>5% gaps)
UZ,6913,93.54,113.38,1.2,-15.1,9.9,654,343,0,0,05/02/2000,-15.1,MINOR (>5% gaps)
TU,8931,75.89,114.17,1.5,-31.9,23.7,1443,520,0,0,06/20/1991,-31.9,MINOR (>5% gaps)
SS,7601,86.90,99.50,1.1,-12.6,6.5,386,244,0,0,08/25/1992,-12.6,MINOR (>5% gaps)
US,130,112.19,118.47,1.1,-1.7,3.0,0,0,0,0,09/19/2025,3.0,OK
FF,9355,85.58,96.88,1.1,-11.2,6.1,363,303,0,0,02/27/1989,-11.2,OK
AP,171,8308.14,10157.82,1.2,-3.1,2.9,0,0,0,0,03/09/2026,-3.1,OK
