Asset Class,N Contracts,Long Sharpe,Long Paper,Long Diff,DQN Sharpe,DQN Paper,DQN Diff,A2C Sharpe,A2C Paper,A2C Diff
Commodity,13,0.10277536804321345,-0.726,0.8287753680432134,-0.7176836887887527,0.723,-1.4406836887887526,-0.7006892185119036,0.234,-0.9346892185119036
Equity Index,3,1.123236032097623,0.688,0.43523603209762296,-0.7487286223924068,0.648,-1.396728622392407,-0.008931954683671769,0.51,-0.5189319546836718
Fixed Income,5,-0.3626799627560523,0.698,-1.0606799627560521,-7.616694799075861,0.935,-8.551694799075861,-8.76112569979127,0.714,-9.47512569979127
FX,9,0.006230433671639741,-0.353,0.3592304336716397,-3.1011393189358847,0.546,-3.647139318935885,-2.365041683274594,0.328,-2.693041683274594
