Ticker,Strategy,E(R),Std(R),DD,Sharpe,Sortino,MDD,Calmar,% +Ret,Ave.P,Ave.L
ES=F,Long,0.1382720522562929,0.13011970400337367,0.11486297939406653,1.062652680586392,1.2037999796428371,-0.20429833503227823,0.6768143863455692,0.5579078455790785,1.0,1.0
ES=F,MACD,0.2712098369583693,0.12928697932809569,0.09028016263134796,2.097735118941185,3.0040911430989956,-0.06861189431212297,3.9528108016462316,0.547945205479452,1.0,1.0
ES=F,DQN,0.6916912728777905,0.11645848202322276,0.07210770285054278,5.939380806456517,9.592474112113306,-0.062345247286326,11.094530906279639,0.513715710723192,0.7182044887780549,0.7182044887780549
ES=F,PPO,0.6228034808866648,0.11442197680724465,0.0435715270479799,5.443040736272543,14.293818075296027,-0.039926099711127754,15.598906113864262,0.6209476309226932,0.8878981111213528,0.8878981111213528
ES=F,A2C,-0.14294339115367252,0.1299282995257661,0.09567479560584834,-1.1001713381565916,-1.4940548369975801,-0.38725148466717485,-0.36912290026860944,0.442643391521197,0.9982348529626603,0.9982348529626603
CL=F,Long,0.11173784458218676,0.3089312790934437,0.22497115877664714,0.36169158691240505,0.49667630815344127,-0.44339750371734404,0.2520037745936818,0.5566625155666252,1.0,1.0
CL=F,MACD,0.7669183597046655,0.30521156106820607,0.1850466707952245,2.512743478721899,4.144459105418596,-0.13164316096775966,5.825736438313641,0.5603985056039851,1.0,1.0
CL=F,DQN,2.488572423001932,0.25563321362466374,0.14871397536999334,9.734933844143608,16.73395131029536,-0.11333032175977002,21.95857546647613,0.7094763092269327,0.8952618453865336,0.8952618453865336
CL=F,PPO,3.254478110592796,0.22680282652365688,0.02295437826527532,14.349371921312166,141.78027707751383,-0.01306925608982066,249.01785443837417,0.8915211970074813,0.8045402917792636,0.8045402917792636
CL=F,A2C,-0.31723344455230723,0.30840071961863963,0.22556492607251052,-1.0286404160943265,-1.4063952675440718,-0.7190544129637085,-0.44118141663963106,0.4451371571072319,0.9973805768048377,0.9973805768048377
GC=F,Long,0.06384885914027488,0.11164620451625296,0.07771029120215348,0.5718856222378795,0.8216268161211772,-0.1369758136759464,0.46613235889459104,0.5187032418952618,1.0,1.0
GC=F,MACD,0.27476613378641657,0.11036966644297028,0.06480570494231368,2.4895076939313983,4.2398448412990435,-0.05220725604584633,5.262987458010203,0.5473815461346634,1.0,1.0
GC=F,DQN,0.6008426624252107,0.09073570615187888,0.04298473778901739,6.621898786123779,13.978046472548824,-0.019778555011644654,30.378491354472743,0.5218476903870163,0.762796504369538,0.762796504369538
GC=F,PPO,0.9007513264594935,0.08442679159909375,0.01586637738380973,10.669022349407417,56.771076640256425,-0.00796379191103914,113.1058340701874,0.7515605493133583,0.6949533299355769,0.6949533299355769
GC=F,A2C,-0.10901428179422068,0.11092757298698698,0.0784277812949272,-0.9827518880901618,-1.3899957386818471,-0.3687462371345218,-0.2956349674002269,0.4731585518102372,0.9897333200876781,0.9897333200876781
