Asset Class,Paper Long,Our Long,Diff Long,Paper DQN,Our DQN,Diff DQN,Paper A2C
Commodity,-0.726,0.2466306374327603,0.9726306374327602,0.723,-0.1325939389501781,-0.8555939389501781,0.234
Equity Index,0.688,1.103217063742462,0.41521706374246214,0.648,0.9721001254546184,0.3241001254546184,0.51
Fixed Income,0.698,-0.2935524200720604,-0.9915524200720603,0.935,-0.3455645762612928,-1.280564576261293,0.714
FX,-0.353,0.0647028175516047,0.41770281755160465,0.546,-0.0210517178718958,-0.5670517178718958,0.328
