date,wealth,cumulative_return
2011-01-03,0.9991321529298012,-0.0008678470701988239
2011-01-04,1.0045400593908176,0.004540059390817586
2011-01-05,0.8984075913692842,-0.10159240863071584
2011-01-06,0.9551389772600158,-0.04486102273998416
2011-01-07,1.0205234452787024,0.020523445278702424
2011-01-10,1.0298702397625863,0.029870239762586293
2011-01-11,1.0024461079816818,0.0024461079816817666
2011-01-12,0.9464830498727996,-0.05351695012720037
2011-01-13,0.9635486730855214,-0.03645132691447861
2011-01-14,0.9369744883087276,-0.06302551169127235
2011-01-17,0.9451590704299108,-0.054840929570089236
2011-01-18,0.9118933865737268,-0.08810661342627324
2011-01-19,0.9298731044533293,-0.07012689554667073
2011-01-20,0.8323525655935428,-0.16764743440645724
2011-01-21,0.8487386100323002,-0.15126138996769978
2011-01-24,0.8619037239499191,-0.1380962760500809
2011-01-25,0.91903542140764,-0.08096457859235995
2011-01-26,0.8415792884821647,-0.15842071151783532
2011-01-27,0.8639154668991014,-0.13608453310089863
2011-01-28,0.905150442540378,-0.09484955745962198
2011-01-31,0.8650122713343547,-0.13498772866564535
2011-02-01,0.8173765595927599,-0.1826234404072401
2011-02-02,0.7747946823822331,-0.22520531761776685
2011-02-03,0.7788288934523608,-0.22117110654763916
2011-02-04,0.6927131712565715,-0.3072868287434285
2011-02-07,0.7120965019741526,-0.28790349802584736
2011-02-08,0.6530091799788396,-0.34699082002116044
2011-02-09,0.6916717938365599,-0.30832820616344014
2011-02-10,0.644813670640423,-0.35518632935957695
2011-02-11,0.688927665795238,-0.311072334204762
2011-02-14,0.6994453207786987,-0.3005546792213013
2011-02-15,0.7139820744114951,-0.2860179255885049
2011-02-16,0.7319478677175703,-0.26805213228242974
2011-02-17,0.7980624867380928,-0.20193751326190723
2011-02-18,0.769194296935147,-0.23080570306485304
2011-02-21,0.8341130670421419,-0.16588693295785806
2011-02-22,0.9204618063453364,-0.07953819365466364
2011-02-23,0.9016403425845735,-0.09835965741542652
2011-02-24,0.9225123900365894,-0.07748760996341064
2011-02-25,0.9315478272198698,-0.06845217278013016
2011-02-28,0.9349731641504945,-0.06502683584950553
2011-03-01,0.9388727950419326,-0.06112720495806745
2011-03-02,0.8743924444532534,-0.12560755554674663
2011-03-03,0.7384957016289744,-0.2615042983710256
2011-03-04,0.8237246233243666,-0.17627537667563342
2011-03-07,0.8069969592006428,-0.19300304079935715
2011-03-08,0.7751157055643008,-0.22488429443569924
2011-03-09,0.8289917407740519,-0.1710082592259481
2011-03-10,0.9075514052394792,-0.09244859476052081
2011-03-11,0.9160240182871574,-0.0839759817128426
2011-03-14,0.945068528168067,-0.05493147183193303
2011-03-15,0.9982579176278299,-0.0017420823721701062
2011-03-16,1.1120347183554176,0.11203471835541756
2011-03-17,1.042875092117753,0.04287509211775298
2011-03-18,1.0073253994950595,0.007325399495059504
2011-03-21,0.9505309827322572,-0.049469017267742776
2011-03-22,0.9394285725631961,-0.06057142743680388
2011-03-23,0.9487975670157569,-0.051202432984243096
2011-03-24,0.8979007628517404,-0.10209923714825964
2011-03-25,0.8553747906765405,-0.14462520932345946
2011-03-28,0.8510144716006209,-0.14898552839937906
2011-03-29,0.7936695974043607,-0.20633040259563928
2011-03-30,0.8304422508636249,-0.1695577491363751
2011-03-31,0.8089775722008122,-0.19102242779918777
2011-04-01,0.8010019477820145,-0.1989980522179855
2011-04-04,0.8155395566989769,-0.18446044330102307
2011-04-05,0.7673831472843691,-0.23261685271563093
2011-04-06,0.7143722466772979,-0.28562775332270207
2011-04-07,0.7285865762011438,-0.27141342379885625
2011-04-08,0.6837351981368567,-0.3162648018631433
2011-04-11,0.6633341492988908,-0.3366658507011092
2011-04-12,0.7152635914224934,-0.2847364085775066
2011-04-13,0.7409714096985316,-0.2590285903014684
2011-04-14,0.7275052992868787,-0.2724947007131213
2011-04-15,0.7900423624565591,-0.20995763754344088
2011-04-18,0.8659323684068168,-0.13406763159318325
2011-04-19,0.8543360801442695,-0.14566391985573046
2011-04-20,0.8067409831842852,-0.19325901681571478
2011-04-21,0.7994935230192558,-0.2005064769807442
2011-04-25,0.8494194618559705,-0.1505805381440295
2011-04-26,0.8805012641152816,-0.11949873588471838
2011-04-27,0.8075369916446249,-0.1924630083553751
2011-04-28,0.8409451021371205,-0.15905489786287952
2011-04-29,0.8225758554630073,-0.17742414453699273
2011-05-02,0.8373204148979703,-0.16267958510202973
2011-05-03,0.8672021975965812,-0.13279780240341876
2011-05-04,0.8691146778887028,-0.13088532211129722
2011-05-05,0.9011353801492293,-0.09886461985077066
2011-05-06,0.9187936276822964,-0.08120637231770356
2011-05-09,0.9380110219721585,-0.061988978027841535
2011-05-10,0.8969588831719821,-0.10304111682801786
2011-05-11,0.929493461890981,-0.07050653810901897
2011-05-12,0.8996233925797535,-0.10037660742024646
2011-05-13,0.9349255091229783,-0.06507449087702166
2011-05-16,0.9600616925045784,-0.0399383074954216
2011-05-17,0.9791699817314269,-0.020830018268573114
2011-05-18,0.9512763451189847,-0.048723654881015266
2011-05-19,0.9519186558242553,-0.04808134417574472
2011-05-20,0.9372050502558915,-0.06279494974410849
2011-05-23,0.9355766503980235,-0.06442334960197649
2011-05-24,0.9318119043238395,-0.06818809567616047
2011-05-25,0.9303835270269539,-0.06961647297304607
2011-05-26,0.9627262988021897,-0.03727370119781026
2011-05-27,0.9428722742299173,-0.05712772577008274
2011-05-30,0.9523709776257407,-0.047629022374259256
2011-05-31,0.9846530467390661,-0.015346953260933938
2011-06-01,1.016015315617756,0.016015315617756043
