ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,1,1,1100,1.461569,0.001454,1.461569,0.000573
DA,1,1,1100,-1.80135,0.001454,-1.80135,0.000573
GI,1,1,1106,1.81133,0.001454,1.81133,0.000573
JO,1,1,1100,-1.801882,0.001454,-1.801882,0.000573
KC,1,1,1100,-0.09922,0.001454,-0.09922,0.000573
KW,1,1,1106,0.5062,0.001454,0.5062,0.000573
LB,1,1,1106,-3.48912,0.001454,-3.48912,0.000573
NR,1,1,1106,4.545501,0.001454,4.545501,0.000573
SB,1,1,1100,0.543861,0.001454,0.543861,0.000573
ZC,1,1,1106,2.266956,0.001454,2.266956,0.000573
ZF,1,1,1106,-3.030892,0.001454,-3.030892,0.000573
ZG,1,1,1105,0.144528,0.001454,0.144528,0.000573
ZH,1,1,1103,-0.842919,0.001454,-0.842919,0.000573
ZI,1,1,1105,-1.131804,0.001454,-1.131804,0.000573
ZK,1,1,1104,-1.50001,0.001454,-1.50001,0.000573
ZL,1,1,1106,0.33577,0.001454,0.33577,0.000573
ZN,1,1,1102,-0.271696,0.001454,-0.271696,0.000573
ZO,1,1,1105,0.694822,0.001454,0.694822,0.000573
ZP,1,1,1105,0.480773,0.001454,0.480773,0.000573
ZR,1,1,1106,1.94149,0.001454,1.94149,0.000573
ZT,1,1,1106,-1.378431,0.001454,-1.378431,0.000573
ZU,1,1,1101,-0.228171,0.001454,-0.228171,0.000573
ZW,1,1,1106,0.273624,0.001454,0.273624,0.000573
ZZ,1,1,1106,-1.170374,0.001454,-1.170374,0.000573
