model,E(R),Std(R),DD,Sharpe,Sortino,MDD,Calmar,% +Ret,Ave.P/Ave.L,asset_class
Long,-0.1947872432261973,0.40385760162417195,0.274290994885572,-0.4823166443885967,-0.7101481523571641,2.634746464578309,-0.07393016589828616,0.5011037527593819,0.9198458275925003,Commodity
Sign(R),-0.14792946571050622,0.3108643056706647,0.20530750171075818,-0.4758650736415695,-0.7205263542630438,1.78320154538209,-0.08295723278930262,0.4891832229580574,0.9658713580393209,Commodity
MACD,-0.2558979234494101,0.2387909716392353,0.15566295423599852,-1.0716398601368393,-1.6439230817979125,2.5943367576514045,-0.09863712669324734,0.4750551876379691,0.92591019967043,Commodity
A2C,-0.016668985532178972,0.02673778798223028,0.01864688692922257,-0.6234242542149353,-0.8939286002778342,0.1788370057658337,-0.09320769748295313,0.4983667755482968,0.9079265798635169,Commodity
Long,0.5811305167639905,0.9267228091511482,0.7271371956357049,0.6270812707159863,0.7992033968994434,1.7816413592711,0.3261770466541824,0.5478448275862069,0.9186534260679279,Equity Index
Sign(R),0.060223879684185334,0.7963118670313835,0.6321537831452688,0.07562850960478258,0.09526776757475466,2.4724643461864786,0.02435783544344106,0.5181034482758621,0.942736130656951,Equity Index
MACD,-0.26689744799462883,0.6153437616464715,0.4815589615396649,-0.4337371476400329,-0.5542362811425847,3.2839553001020656,-0.0812731671427847,0.5060344827586207,0.9025670224112418,Equity Index
A2C,0.03194055616666117,0.06065231521906811,0.04801599624836268,0.5266172618686711,0.6652065699407482,0.10579949468801925,0.3018970578342292,0.5468607825295724,0.9077147980933934,Equity Index
Long,0.5168268996549182,0.9462745394227768,0.6160120399052265,0.5461701420923576,0.8389883089532343,2.118845187820419,0.24391914172198664,0.525657611039241,0.9863346155371139,Fixed Income
Sign(R),-0.07575363376758946,0.8269303605172144,0.5789904821636591,-0.09160823859485383,-0.1308374422399861,3.7257307417538423,-0.02033255729369465,0.5140146614920225,0.9308573098139551,Fixed Income
MACD,-0.4908291191068443,0.6610136699354007,0.4515608730919155,-0.7425400433168226,-1.0869611349319357,6.3637493894887625,-0.07712892024276831,0.4652867615351445,1.0108128304309454,Fixed Income
A2C,0.03356199835384974,0.06361610972007835,0.04195057182047795,0.5275707442899009,0.8000367312625433,0.12733405387829122,0.2635744118060441,0.5204918032786885,1.0050245756645284,Fixed Income
Long,-0.21150440049217395,0.4682008242904552,0.30363346322039614,-0.4517386333368865,-0.696578032766602,2.8480211375301248,-0.07426363438987531,0.49162011173184356,0.9597195251527224,FX
Sign(R),-0.37637036334038476,0.5543855698046839,0.38923625777535087,-0.6788963924024649,-0.9669457966005014,4.12538302608446,-0.0912328287968961,0.4860335195530726,0.9413197492997833,FX
MACD,-0.426362897331884,0.44806669668796373,0.3179326336186361,-0.9515612306906299,-1.3410479209986077,4.198377004785427,-0.10155421889122956,0.46669531585732704,0.9664315128892113,FX
A2C,-0.016267603082291165,0.030800355824290585,0.02045791089216927,-0.5281628295171117,-0.7951742075735583,0.19308746722099288,-0.0842499169750491,0.4852607709750567,0.9710223423394079,FX
Long,0.06529866437982947,0.36997677518870065,0.2610843034555993,0.17649395518549763,0.2501056689948974,1.30128297824934,0.05018021865442209,0.5210481099656358,0.9464128223967233,All
Sign(R),-0.11903319559570172,0.3071859467733085,0.2200872046181961,-0.38749557668907186,-0.5408455970995619,1.6393348765650413,-0.07261066503087908,0.5008591065292096,0.9329697175796835,All
MACD,-0.3081640192018223,0.25133518603796473,0.17867099912655118,-1.2261077490171768,-1.724756791579546,3.1641099048959265,-0.09739358886522571,0.4686426116838488,0.9190217638646574,All
A2C,0.0006224716188146108,0.02423505808931581,0.017479871930513646,0.025684758688035974,0.03561076541573491,0.08218627613225518,0.007573911948667946,0.5253853127833182,0.9072469535191131,All
