date,daily_pnl,cum_wealth,asset_class,model
2011-04-01,-0.0003526010007210169,0.999647398999279,Commodity,A2C
2011-04-04,0.0015885146173190991,1.0012353535047545,Commodity,A2C
2011-04-05,0.0011999167015155935,1.0024367525275726,Commodity,A2C
2011-04-06,-0.0011660972987546092,1.0012678137382778,Commodity,A2C
2011-04-07,-0.0015623208325795913,0.9997035121738831,Commodity,A2C
2011-04-08,0.002720873559331521,1.002423579027328,Commodity,A2C
2011-04-11,-0.000647518797902578,1.001774490916447,Commodity,A2C
2011-04-12,-0.005343690053081779,0.9964213185339057,Commodity,A2C
2011-04-13,0.0008817116285486317,0.9972998747973908,Commodity,A2C
2011-04-14,0.0013598403040023695,0.9986560433623167,Commodity,A2C
2011-04-15,0.00026731455794286313,0.998922998661085,Commodity,A2C
2011-04-18,-0.0005741728179285857,0.99834944422805,Commodity,A2C
2011-04-19,0.0019507319216149808,1.0002969563578323,Commodity,A2C
2011-04-20,0.0021721060026724495,1.0024697073811921,Commodity,A2C
2011-04-21,0.0005912792001371857,1.0030624468679343,Commodity,A2C
2011-04-25,0.0002963888987675244,1.0033597434419566,Commodity,A2C
2011-04-26,-0.002233403460213408,1.0011188363191144,Commodity,A2C
2011-04-27,-0.0005376718203171476,1.0005805629320368,Commodity,A2C
2011-04-28,-0.0006323425762699067,0.9999478532411068,Commodity,A2C
2011-04-29,0.004018705367869756,1.0039663490465167,Commodity,A2C
2011-05-02,-0.001458681578198423,1.0025018818280316,Commodity,A2C
2011-05-03,-0.0024570417514458245,1.000038692848477,Commodity,A2C
2011-05-04,-0.005399098270451394,0.9946393856715343,Commodity,A2C
2011-05-05,-0.008083867350422665,0.9865988528162597,Commodity,A2C
2011-05-06,0.0001440778880353958,0.9867409998953117,Commodity,A2C
2011-05-09,0.0021884633232861976,0.9889004463831654,Commodity,A2C
2011-05-10,0.0018356106231590707,0.9907156825477932,Commodity,A2C
2011-05-11,-0.004877322264326973,0.9858836428916848,Commodity,A2C
2011-05-12,0.0006374937489988376,0.9865121375512684,Commodity,A2C
2011-05-13,-0.000646139202079408,0.9858747133858694,Commodity,A2C
2011-05-16,-0.00026105116478191575,0.985617349643611,Commodity,A2C
2011-05-17,0.0008805909064037186,0.986485275318901,Commodity,A2C
2011-05-18,0.003865897568718177,0.9902989263463327,Commodity,A2C
2011-05-19,-0.0006351883664261748,0.9896698999890331,Commodity,A2C
2011-05-20,0.0003604655522577643,0.9900266418960856,Commodity,A2C
2011-05-23,-0.0028968974210492712,0.9871586362704068,Commodity,A2C
2011-05-24,0.0002894674857458075,0.9874443865988803,Commodity,A2C
2011-05-25,0.004040606196948186,0.9914342605065135,Commodity,A2C
2011-05-26,0.0009021263204813441,0.9923286594479435,Commodity,A2C
2011-05-27,0.0013046520824495174,0.9936233030999666,Commodity,A2C
2011-05-31,0.0005962430774033139,0.9942157441159866,Commodity,A2C
2011-06-01,-0.0026138401478370096,0.9916170230884045,Commodity,A2C
2011-06-02,-0.00011938711295805426,0.991498636794858,Commodity,A2C
2011-06-03,0.0005117632339133441,0.9920060493436448,Commodity,A2C
2011-06-06,-0.0007359581166596009,0.9912759744398549,Commodity,A2C
2011-06-07,0.0003191475813242115,0.9915923377695223,Commodity,A2C
2011-06-08,0.0013960551132081076,0.9929766553228835,Commodity,A2C
2011-06-09,0.001982997592904358,0.994945725640199,Commodity,A2C
2011-06-10,-0.001202970069634243,0.9937488357113433,Commodity,A2C
2011-06-13,-0.0021821475802298947,0.9915803290941395,Commodity,A2C
2011-06-14,0.0002681156365949768,0.9918461872853096,Commodity,A2C
2011-06-15,-0.0035061915151621175,0.988368584599104,Commodity,A2C
2011-06-16,-0.0012538473669581613,0.9871293212517203,Commodity,A2C
2011-06-17,2.291117630319042e-05,0.9871519375456336,Commodity,A2C
2011-06-20,0.0014696858941783506,0.9886027408236552,Commodity,A2C
2011-06-21,0.003014704187121681,0.9915830856458161,Commodity,A2C
2011-06-22,-0.001606847801194971,0.989989762544944,Commodity,A2C
2011-06-23,-0.0037001609346294932,0.986326641099892,Commodity,A2C
2011-06-24,-0.0008935355650392563,0.9854453231673236,Commodity,A2C
2011-06-27,-0.002468682093437787,0.9830125719439584,Commodity,A2C
2011-06-28,0.002536349161036585,0.9855058350560969,Commodity,A2C
2011-06-29,0.002655981142061448,0.9881233199693974,Commodity,A2C
2011-06-30,-0.0009730510896101678,0.9871618254962319,Commodity,A2C
2011-07-01,0.0004996959351391979,0.9876551062477569,Commodity,A2C
2011-07-05,0.0036390530663490237,0.991249235590643,Commodity,A2C
2011-07-06,-0.00020324594701099955,0.9910477682010315,Commodity,A2C
2011-07-07,0.004999524618805283,0.9960025359165645,Commodity,A2C
2011-07-08,-0.00034262444965443644,0.9956612810958417,Commodity,A2C
