asset_class,model,metric,your_value,paper_value,pct_diff_vs_paper,abs_diff
All,Sign(R),MDD,1.6393348765650413,0.016,10145.842978531507,1.6233348765650413
All,Sign(R),Calmar,-0.07261066503087908,0.142,-151.1342711485064,-0.21461066503087906
All,Sign(R),% +Ret,0.5008591065292096,0.51,-1.7923320530961548,-0.00914089347079039
All,Sign(R),Ave.P/Ave.L,0.9329697175796835,1.008,-7.443480398840924,-0.07503028242031651
All,MACD,E(R),-0.3081640192018223,-0.018,-1612.0223288990128,-0.2901640192018223
All,MACD,Std(R),0.25133518603796473,0.23,9.276167842593356,0.02133518603796472
All,MACD,DD,0.17867099912655118,0.143,24.944754633951888,0.035670999126551195
All,MACD,Sharpe,-1.2261077490171768,-0.08,-1432.6346862714709,-1.1461077490171767
All,MACD,Sortino,-1.724756791579546,-0.129,-1237.0207686663148,-1.595756791579546
All,MACD,MDD,3.1641099048959265,0.026,12069.653480368948,3.1381099048959267
All,MACD,Calmar,-0.09739358886522571,-0.029,-235.8399616042266,-0.06839358886522572
All,MACD,% +Ret,0.4686426116838488,0.493,-4.940646717272048,-0.024357388316151196
All,MACD,Ave.P/Ave.L,0.9190217638646574,1.013,-9.277219756697189,-0.09397823613534251
All,A2C,E(R),0.0006224716188146108,0.214,-99.70912541176887,-0.21337752838118537
All,A2C,Std(R),0.02423505808931581,0.221,-89.03391036682542,-0.1967649419106842
All,A2C,DD,0.017479871930513646,0.134,-86.95531945484056,-0.11652012806948636
All,A2C,Sharpe,0.025684758688035974,0.969,-97.34935410856181,-0.943315241311964
All,A2C,Sortino,0.03561076541573491,1.601,-97.7757173381802,-1.565389234584265
All,A2C,MDD,0.08218627613225518,0.009,813.1808459139465,0.07318627613225519
All,A2C,Calmar,0.007573911948667946,0.672,-98.87292976954346,-0.6644260880513321
All,A2C,% +Ret,0.5253853127833182,0.538,-2.344737400870222,-0.012614687216681797
All,A2C,Ave.P/Ave.L,0.9072469535191131,1.014,-10.527913854130858,-0.1067530464808869
