asset_class,model,metric,your_value,paper_value,pct_diff_vs_paper,abs_diff
Commodity,Long,E(R),-0.5057941601469088,-0.71,28.76138589480157,0.20420583985309115
Commodity,Long,Std(R),0.9885257849449378,0.979,0.9730117410559582,0.009525784944937832
Commodity,Long,DD,0.6557222574208852,0.604,8.563287652464439,0.05172225742088521
Commodity,Long,Sharpe,-0.5116651157208633,-0.726,29.522711333214424,0.21433488427913672
Commodity,Long,Sortino,-0.7713542653505769,-1.177,34.46437847488726,0.4056457346494231
Commodity,Long,MDD,6.332914363388297,0.35,1709.4041038252278,5.982914363388297
Commodity,Long,Calmar,-0.07986751930059163,-0.14,42.951771928148844,0.06013248069940838
Commodity,Long,% +Ret,0.4988662131519274,0.473,5.468544006749989,0.025866213151927442
Commodity,Long,Ave.P/Ave.L,0.9240515590083315,0.989,-6.5670820011798305,-0.06494844099166852
Commodity,Sign(R),E(R),-0.5427114203845091,0.347,-256.4009857015877,-0.8897114203845091
Commodity,Sign(R),Std(R),0.988617385502736,0.98,0.8793250512995973,0.008617385502736052
Commodity,Sign(R),DD,0.6310127628267691,0.572,10.316916578106495,0.05901276282676915
Commodity,Sign(R),Sharpe,-0.5489600206742542,0.354,-255.0734521678684,-0.9029600206742542
Commodity,Sign(R),Sortino,-0.8600640943509709,0.606,-241.92476804471465,-1.4660640943509708
Commodity,Sign(R),MDD,6.089411809325623,0.116,5149.4929390738125,5.973411809325623
Commodity,Sign(R),Calmar,-0.08912378360638615,0.119,-174.89393580368585,-0.20812378360638614
Commodity,Sign(R),% +Ret,0.48707482993197276,0.494,-1.4018562890743385,-0.006925170068027231
Commodity,Sign(R),Ave.P/Ave.L,0.9634795025432725,1.084,-11.118127071653833,-0.12052049745672755
Commodity,MACD,E(R),-1.074184278871725,-0.171,-528.1779408606579,-0.903184278871725
Commodity,MACD,Std(R),0.9909726631593627,0.978,1.3264481758039612,0.01297266315936274
Commodity,MACD,DD,0.6403767533260604,0.584,9.653553651722673,0.0563767533260604
Commodity,MACD,Sharpe,-1.0839696379182366,-0.175,-519.4112216675638,-0.9089696379182366
Commodity,MACD,Sortino,-1.6774254738206948,-0.293,-472.50016171354775,-1.384425473820695
Commodity,MACD,MDD,9.894271877610617,0.19,5107.511514531904,9.704271877610617
Commodity,MACD,Calmar,-0.10856627876806751,-0.06,-80.9437979467792,-0.04856627876806752
Commodity,MACD,% +Ret,0.47346938775510206,0.486,-2.5783152767279693,-0.012530612244897932
Commodity,MACD,Ave.P/Ave.L,0.9307795353133935,1.026,-9.280747045478217,-0.0952204646866065
Commodity,A2C,E(R),-0.4740670957944671,0.223,-312.58614161186864,-0.6970670957944671
Commodity,A2C,Std(R),0.9893251755950537,0.955,3.5942592246129603,0.03432517559505377
Commodity,A2C,DD,0.6534240329573342,0.559,16.891598024567823,0.09442403295733415
Commodity,A2C,Sharpe,-0.4791822825183114,0.234,-304.7787532129536,-0.7131822825183114
Commodity,A2C,Sortino,-0.7255121818046469,0.399,-281.8326270187085,-1.124512181804647
Commodity,A2C,MDD,6.275504180753194,0.141,4350.712184931344,6.134504180753194
Commodity,A2C,Calmar,-0.0755424715114394,0.091,-183.01370495762575,-0.16654247151143942
Commodity,A2C,% +Ret,0.4978396543446951,0.487,2.2258017134897616,0.010839654344695138
Commodity,A2C,Ave.P/Ave.L,0.9330009303133824,1.093,-14.638524216524939,-0.1599990696866176
Equity Index,Long,E(R),0.5629906787653217,0.668,-15.719958268664419,-0.10500932123467832
Equity Index,Long,Std(R),1.0044557859855034,0.97,3.552142885103451,0.03445578598550347
Equity Index,Long,DD,0.7897136091590337,0.606,30.315777088949453,0.18371360915903368
Equity Index,Long,Sharpe,0.5604932408378271,0.688,-18.53295918054837,-0.1275067591621728
Equity Index,Long,Sortino,0.7129048711277126,1.102,-35.30808791944532,-0.3890951288722875
Equity Index,Long,MDD,1.808169718983244,0.132,1269.8255446842757,1.6761697189832439
Equity Index,Long,Calmar,0.31135942210220086,0.509,-38.829190156738534,-0.19764057789779915
Equity Index,Long,% +Ret,0.547787610619469,0.542,1.0678248375404011,0.005787610619468975
Equity Index,Long,Ave.P/Ave.L,0.9089908545078771,0.948,-4.114888764991863,-0.039009145492122865
Equity Index,Sign(R),E(R),0.038282862093244094,0.228,-83.20927101173505,-0.18971713790675593
Equity Index,Sign(R),Std(R),1.0162846385274447,0.966,5.205449122923881,0.05028463852744469
Equity Index,Sign(R),DD,0.7668955189350479,0.61,25.720576874598024,0.15689551893504794
Equity Index,Sign(R),Sharpe,0.037669429057507364,0.236,-84.03837751800536,-0.19833057094249262
Equity Index,Sign(R),Sortino,0.049919266898841345,0.374,-86.65260243346488,-0.32408073310115865
Equity Index,Sign(R),MDD,3.150029827826052,0.344,815.706345298271,2.8060298278260523
Equity Index,Sign(R),Calmar,0.012153174473165057,0.077,-84.21665652835708,-0.06484682552683495
Equity Index,Sign(R),% +Ret,0.5172566371681416,0.528,-2.0347278090640897,-0.010743362831858394
Equity Index,Sign(R),Ave.P/Ave.L,0.9395371036958704,0.93,1.0254950210613283,0.009537103695870353
Equity Index,MACD,E(R),-0.4476392286400948,0.016,-2897.7451790005925,-0.4636392286400948
Equity Index,MACD,Std(R),1.0090373294763466,0.962,4.889535288601523,0.047037329476346645
Equity Index,MACD,DD,0.7949419684446654,0.618,28.631386479719318,0.17694196844466537
Equity Index,MACD,Sharpe,-0.44362999818094256,0.017,-2709.5882245937796,-0.4606299981809426
Equity Index,MACD,Sortino,-0.5631093166661187,0.027,-2185.5900617263655,-0.5901093166661188
Equity Index,MACD,MDD,4.878821248476719,0.311,1468.7528130150222,4.567821248476719
Equity Index,MACD,Calmar,-0.09175151247442365,0.006,-1629.1918745737273,-0.09775151247442365
Equity Index,MACD,% +Ret,0.5061946902654867,0.519,-2.4673043804457273,-0.012805309734513326
Equity Index,MACD,Ave.P/Ave.L,0.9002172233272719,0.927,-2.8891884220850166,-0.026782776672728104
Equity Index,A2C,E(R),0.5523060915877588,0.473,16.766615557665713,0.07930609158775881
Equity Index,A2C,Std(R),1.0022711316832267,0.929,7.887097059550767,0.07327113168322663
Equity Index,A2C,DD,0.7950071282298988,0.593,34.06528300672831,0.20200712822989886
Equity Index,A2C,Sharpe,0.5510545740853665,0.51,8.049916487326765,0.0410545740853665
Equity Index,A2C,Sortino,0.6947184144341959,0.798,-12.942554582180968,-0.10328158556580413
Equity Index,A2C,MDD,1.8082764971324052,0.124,1358.2874976874234,1.6842764971324051
Equity Index,A2C,Calmar,0.30543232324460057,0.328,-6.880389254694953,-0.022567676755399446
Equity Index,A2C,% +Ret,0.5481758652946679,0.533,2.8472542766731435,0.015175865294667856
