ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
AN,1,21,31500,5.158216,0.002756,13.562235,0.002532
BN,1,21,31500,4.018945,0.002756,10.860788,0.002747
CN,1,21,31500,4.25594,0.002767,7.224179,0.00297
DX,1,21,31500,1.409935,0.002815,14.662629,0.003034
FN,1,21,31500,4.422633,0.002728,13.766635,0.00423
JN,1,21,31500,0.282337,0.002832,6.773308,0.003165
MP,1,21,31500,2.86056,0.002765,11.513464,0.003055
NK,1,21,31500,10.51046,0.002723,21.88421,0.002822
SN,1,21,31500,0.040026,0.00272,5.205942,0.002566
