ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CA,1,82,92988,24.074914,0.00202,26.448103,0.000757
EN,1,82,90774,8.410082,0.002071,13.888504,0.001308
ER,1,82,90856,22.606717,0.002033,31.374535,0.000912
ES,1,82,90856,24.375681,0.00203,29.941447,0.000736
LX,1,82,91594,20.839812,0.002061,27.365978,0.001409
MD,1,82,90692,23.209637,0.002067,31.595124,0.001003
SC,1,82,90774,24.452043,0.002018,30.969316,0.001129
SP,1,82,90692,24.301383,0.002004,29.71654,0.001367
XU,1,82,92332,23.125315,0.002041,27.352047,0.001267
XX,1,82,92332,20.287188,0.002051,26.31681,0.001305
YM,1,82,90856,21.141954,0.002025,28.200892,0.00119
