contract,round,date,position,return
AN,1,2011-01-03,1.0,-0.0
AN,1,2011-01-04,1.0,-0.12368299441979963
AN,1,2011-01-05,1.0,-0.0397713383146286
AN,1,2011-01-06,1.0,-0.04023909441823202
AN,1,2011-01-07,1.0,0.010217328738837569
AN,1,2011-01-10,1.0,0.008491370049221568
AN,1,2011-01-11,1.0,-0.07401276668524091
AN,1,2011-01-12,1.0,0.0752904775862087
AN,1,2011-01-13,1.0,0.01201746031507586
AN,1,2011-01-14,1.0,-0.06297338216199336
AN,1,2011-01-18,1.0,0.07112217201241132
AN,1,2011-01-19,1.0,0.009504857182269288
AN,1,2011-01-20,1.0,-0.08814834119038192
AN,1,2011-01-21,1.0,0.012638353275709406
AN,1,2011-01-24,1.0,0.06846116805280601
AN,1,2011-01-25,1.0,-0.041268459693045316
AN,1,2011-01-26,1.0,0.026365182581152932
AN,1,2011-01-27,1.0,-0.023473570207009204
AN,1,2011-01-28,1.0,0.00976290723142734
AN,1,2011-01-31,1.0,0.03014342716466477
AN,1,2011-02-01,1.0,0.1220583729195591
AN,1,2011-02-02,1.0,-0.029241189913066932
AN,1,2011-02-03,1.0,0.05194337462510826
AN,1,2011-02-04,1.0,-0.006430460597827479
AN,1,2011-02-07,1.0,0.004336339489106734
AN,1,2011-02-08,1.0,0.009062552274495149
AN,1,2011-02-09,1.0,-0.04490659148781729
AN,1,2011-02-10,1.0,-0.045784508292107826
AN,1,2011-02-11,1.0,-0.016315836792681383
AN,1,2011-02-14,1.0,0.010423494389880952
AN,1,2011-02-15,1.0,-0.05650109292199273
AN,1,2011-02-16,1.0,0.07092928736594643
AN,1,2011-02-17,1.0,0.07429665099403418
AN,1,2011-02-18,1.0,0.015426342561966165
AN,1,2011-02-22,1.0,-0.14551342323379557
AN,1,2011-02-23,1.0,0.031176480003203028
AN,1,2011-02-24,1.0,0.07041494196327625
AN,1,2011-02-25,1.0,0.06555760164892441
AN,1,2011-02-28,1.0,0.01181728914877327
AN,1,2011-03-01,1.0,-0.04193633942385506
AN,1,2011-03-02,1.0,0.02410894153028219
AN,1,2011-03-03,1.0,-0.009697047367466929
AN,1,2011-03-04,-1.0,-0.017529159617506757
AN,1,2011-03-07,-1.0,-0.021993499276645137
AN,1,2011-03-08,1.0,0.005660214551950562
AN,1,2011-03-09,1.0,-0.03160974923078032
AN,1,2011-03-10,1.0,-0.09315945953949781
AN,1,2011-03-11,1.0,0.12449396899540162
AN,1,2011-03-14,1.0,-0.05075144013403094
AN,1,2011-03-15,1.0,-0.146948109120681
AN,1,2011-03-16,1.0,-0.054144492612102135
AN,1,2011-03-17,1.0,-0.019176796097255512
AN,1,2011-03-18,1.0,0.12155794977731274
AN,1,2011-03-21,1.0,0.07258708447506099
AN,1,2011-03-22,-1.0,0.044515252594441744
AN,1,2011-03-23,-1.0,-0.05480292168232982
AN,1,2011-03-24,-1.0,-0.05857181180214696
AN,1,2011-03-25,-1.0,-0.022935391490941308
AN,1,2011-03-28,0.0,-0.01659891404993065
AN,1,2011-03-29,1.0,-0.015702336095584135
AN,1,2011-03-30,1.0,0.013107151191544708
AN,1,2011-03-31,1.0,0.033160187632361345
AN,1,2011-04-01,1.0,0.019902322987296217
AN,1,2011-04-04,1.0,-0.025383068082686786
AN,1,2011-04-05,1.0,-0.012397602808078586
AN,1,2011-04-06,1.0,0.08269478652757112
AN,1,2011-04-07,1.0,0.014927074198425134
AN,1,2011-04-08,1.0,0.05920845965889541
AN,1,2011-04-11,1.0,-0.01842558731576415
AN,1,2011-04-12,1.0,-0.022669083222172676
AN,1,2011-04-13,1.0,0.02447465925491177
AN,1,2011-04-14,1.0,0.040812116426290235
AN,1,2011-04-15,1.0,0.0271719187910473
AN,1,2011-04-18,1.0,-0.04772688305139877
AN,1,2011-04-19,1.0,0.004091830962112989
AN,1,2011-04-20,1.0,0.14725485180878983
AN,1,2011-04-21,1.0,0.0661880460656391
AN,1,2011-04-25,1.0,-0.021643750727400896
AN,1,2011-04-26,1.0,0.04934711502010719
AN,1,2011-04-27,1.0,0.06288078446489123
AN,1,2011-04-28,0.0,0.05832245133096612
AN,1,2011-04-29,0.0,-0.019586122771901887
AN,1,2011-05-02,0.0,-0.0
AN,1,2011-05-03,0.0,-0.0
AN,1,2011-05-04,-1.0,-0.0
AN,1,2011-05-05,0.0,0.12591874814664974
AN,1,2011-05-06,0.0,-0.018024143410559756
AN,1,2011-05-09,0.0,0.0
AN,1,2011-05-10,0.0,0.0
AN,1,2011-05-11,0.0,-0.0
AN,1,2011-05-12,1.0,-0.0
AN,1,2011-05-13,-1.0,-0.070462717035811
AN,1,2011-05-16,-1.0,-0.04421936777321964
AN,1,2011-05-17,-1.0,-0.01813395444048216
AN,1,2011-05-18,-1.0,0.003200610565359862
AN,1,2011-05-19,-1.0,-0.04069588499121572
AN,1,2011-05-20,1.0,-0.029491348826816075
AN,1,2011-05-23,1.0,-0.1702325429951443
AN,1,2011-05-24,-1.0,0.025468095023561708
AN,1,2011-05-25,-1.0,-0.004649364967579353
AN,1,2011-05-26,-1.0,-0.09185315545843353
AN,1,2011-05-27,-1.0,-0.054013126050290246
AN,1,2011-05-31,-1.0,0.03279171490046818
AN,1,2011-06-01,-1.0,0.005809789020726158
AN,1,2011-06-02,-1.0,-0.016681414346279837
AN,1,2011-06-03,-1.0,-0.04944625664715331
AN,1,2011-06-06,-1.0,0.01668434879166198
AN,1,2011-06-07,-1.0,-0.02176471198212061
AN,1,2011-06-08,-1.0,0.08901820187470032
AN,1,2011-06-09,-1.0,-0.020857475245946163
AN,1,2011-06-10,-1.0,0.0591476328941429
AN,1,2011-06-13,-1.0,-0.044020466450225476
AN,1,2011-06-14,-1.0,-0.059846832962421444
AN,1,2011-06-15,-1.0,0.12136948172112876
AN,1,2011-06-16,-1.0,0.0264117473185346
AN,1,2011-06-17,-1.0,-0.08681529481914424
AN,1,2011-06-20,1.0,0.02944117975647084
AN,1,2011-06-21,1.0,-0.002340506891315524
AN,1,2011-06-22,1.0,-0.015013395244244486
AN,1,2011-06-23,1.0,-0.07185123636071708
AN,1,2011-06-24,1.0,-0.0010389907370322116
