date,DQN_cum_return,Long_cum_return
2011-01-03,0.0,0.018326
2011-01-04,-0.214129,-0.063843
2011-01-05,-0.425607,-0.153757
2011-01-06,-0.467266,-0.146831
2011-01-07,-0.448941,-0.11956
2011-01-10,-0.438928,-0.122869
2011-01-11,-0.448838,-0.13156
2011-01-12,-0.288315,-0.033542
2011-01-13,-0.186085,-0.010291
2011-01-14,-0.142738,-0.014765
2011-01-17,-0.199731,-0.010365
2011-01-18,-0.204296,0.022751
2011-01-19,-0.182643,0.042612
2011-01-20,-0.341679,-0.059491
2011-01-21,-0.296431,-0.028214
2011-01-24,-0.225585,0.020755
2011-01-25,-0.257728,-0.001463
2011-01-26,-0.21911,0.025231
2011-01-27,-0.209059,0.032178
2011-01-28,-0.300786,-0.031225
2011-01-31,-0.328695,-0.016372
2011-02-01,-0.167818,0.135274
2011-02-02,-0.158312,0.150705
2011-02-03,-0.167943,0.144048
2011-02-04,-0.209203,0.115528
2011-02-07,-0.208403,0.116081
2011-02-08,-0.274135,0.070646
2011-02-09,-0.274085,0.070681
2011-02-10,-0.376116,0.000156
2011-02-11,-0.333561,0.029571
2011-02-14,-0.339878,0.034168
2011-02-15,-0.387044,0.005014
2011-02-16,-0.308974,0.085269
2011-02-17,-0.206717,0.166552
2011-02-18,-0.183125,0.188245
2011-02-21,-0.195682,0.204213
2011-02-22,-0.351817,0.104225
2011-02-23,-0.339392,0.112814
2011-02-24,-0.308846,0.178069
2011-02-25,-0.310951,0.210059
2011-02-28,-0.216193,0.281588
2011-03-01,-0.204494,0.26845
2011-03-02,-0.20905,0.277625
2011-03-03,-0.225645,0.261343
2011-03-04,-0.182642,0.282271
2011-03-07,-0.248139,0.230557
2011-03-08,-0.294923,0.195201
2011-03-09,-0.215816,0.251926
2011-03-10,-0.406737,0.12911
2011-03-11,-0.319191,0.189623
2011-03-14,-0.410245,0.126686
2011-03-15,-0.601653,-0.005618
2011-03-16,-0.697625,-0.041175
2011-03-17,-0.626539,0.043942
2011-03-18,-0.507208,0.065303
2011-03-21,-0.356873,0.165736
2011-03-22,-0.326516,0.190096
2011-03-23,-0.397541,0.145844
2011-03-24,-0.377219,0.15989
2011-03-25,-0.4696,0.096036
2011-03-28,-0.465871,0.114809
2011-03-29,-0.504867,0.094988
2011-03-30,-0.44856,0.148866
2011-03-31,-0.41395,0.181099
2011-04-01,-0.407077,0.186435
2011-04-04,-0.439515,0.166903
2011-04-05,-0.371872,0.187635
2011-04-06,-0.267901,0.240332
2011-04-07,-0.252451,0.261031
2011-04-08,-0.189019,0.334275
2011-04-11,-0.204224,0.339942
2011-04-12,-0.309231,0.315064
2011-04-13,-0.275437,0.332817
2011-04-14,-0.209841,0.398813
2011-04-15,-0.216865,0.409378
2011-04-18,-0.343813,0.347384
2011-04-19,-0.293794,0.394698
2011-04-20,-0.104142,0.525787
2011-04-21,-0.028214,0.613163
2011-04-22,-0.028515,0.612955
2011-04-25,-0.050119,0.597649
2011-04-26,-0.023773,0.625346
2011-04-27,0.098371,0.674704
2011-04-28,0.142375,0.745993
2011-04-29,0.247978,0.857797
2011-05-02,0.19665,0.837053
2011-05-03,0.10283,0.739493
2011-05-04,0.075671,0.712493
2011-05-05,0.056839,0.539134
2011-05-06,0.108267,0.537302
2011-05-09,0.181218,0.592195
2011-05-10,0.190379,0.606729
2011-05-11,0.059332,0.516148
2011-05-12,0.030216,0.496023
2011-05-13,-0.172326,0.402554
2011-05-16,-0.098933,0.408788
2011-05-17,-0.115507,0.409263
2011-05-18,-0.173184,0.393932
2011-05-19,-0.110045,0.453878
2011-05-20,-0.101563,0.470311
2011-05-23,-0.169896,0.321614
2011-05-24,-0.137379,0.361022
2011-05-25,-0.07694,0.374365
2011-05-26,-0.051096,0.468603
2011-05-27,-0.064609,0.567785
2011-05-30,-0.044064,0.555955
2011-05-31,-0.038822,0.584774
2011-06-01,-0.149496,0.571514
2011-06-02,-0.123047,0.566906
2011-06-03,-0.124305,0.611401
2011-06-06,-0.154352,0.55124
2011-06-07,-0.099804,0.606247
2011-06-08,-0.107512,0.559461
2011-06-09,-0.072065,0.568935
2011-06-10,-0.144762,0.496704
2011-06-13,-0.107182,0.544327
2011-06-14,-0.039028,0.591767
2011-06-15,-0.168869,0.413696
2011-06-16,-0.185031,0.358334
2011-06-17,-0.111426,0.451283
2011-06-20,-0.090851,0.454239
2011-06-21,-0.003845,0.55026
2011-06-22,-0.108923,0.537119
2011-06-23,-0.235065,0.451499
2011-06-24,-0.285544,0.440679
2011-06-27,-0.311016,0.406393
2011-06-28,-0.273273,0.476199
2011-06-29,-0.157427,0.576104
2011-06-30,-0.048535,0.624776
2011-07-01,0.021818,0.635419
2011-07-04,-0.100661,0.688001
