,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0325,0.9841,-4.3040,3.6110,0.0000,0.0000,0.0120
ret_5d,0.0743,0.9782,-3.6960,3.9691,0.0000,0.0000,0.0058
ret_21d,0.1588,1.0054,-2.9084,3.4669,0.0000,0.0000,0.0016
ret_126d,0.3749,1.0229,-2.8898,3.1113,0.0000,0.0000,0.0007
macd_8_24,0.2181,1.1120,-4.8222,4.0174,0.0000,0.0000,0.0000
rsi_5,0.0521,0.4044,-0.9526,0.9646,0.0000,0.0000,0.0000
rsi_30,0.0441,0.1680,-0.4832,0.5735,0.0000,0.0000,0.0000
atr_norm,1.0060,0.4008,0.2564,6.1570,0.0000,0.0000,0.0000
vol_norm,1.0183,0.4331,0.0000,3.7687,0.0000,0.0000,0.0019
oi_chg,0.0087,0.2274,-1.0000,5.0000,0.0000,0.0000,0.0457
drawdown,-0.0231,0.0243,-0.1710,0.0000,0.0000,0.0000,0.0836
days_to_roll,0.0349,0.3150,-0.5000,0.5222,0.0000,0.0000,0.0097
