,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4467,0.2396,0.0957,0.1239,0.5566,0.2677,0.0166,0.0380,0.0076,0.1399,-0.0097
ret_5d,0.4467,1.0000,0.5183,0.2085,0.4929,0.8779,0.5535,0.0308,0.0591,0.0071,0.2888,-0.0089
ret_21d,0.2396,0.5183,1.0000,0.4009,0.8904,0.6698,0.8634,0.0186,0.0054,0.0114,0.5042,-0.0199
ret_126d,0.0957,0.2085,0.4009,1.0000,0.4146,0.2690,0.6479,-0.0028,-0.0023,-0.0104,0.7361,0.0010
macd_8_24,0.1239,0.4929,0.8904,0.4146,1.0000,0.6483,0.8612,0.0055,-0.0011,0.0079,0.5136,-0.0254
rsi_5,0.5566,0.8779,0.6698,0.2690,0.6483,1.0000,0.6838,0.0123,0.0450,0.0112,0.3699,-0.0255
rsi_30,0.2677,0.5535,0.8634,0.6479,0.8612,0.6838,1.0000,0.0134,0.0054,0.0025,0.7097,-0.0182
atr_norm,0.0166,0.0308,0.0186,-0.0028,0.0055,0.0123,0.0134,1.0000,0.3338,0.0351,0.0159,-0.0045
vol_norm,0.0380,0.0591,0.0054,-0.0023,-0.0011,0.0450,0.0054,0.3338,1.0000,0.0429,0.0171,0.0097
oi_chg,0.0076,0.0071,0.0114,-0.0104,0.0079,0.0112,0.0025,0.0351,0.0429,1.0000,0.0025,-0.0009
drawdown,0.1399,0.2888,0.5042,0.7361,0.5136,0.3699,0.7097,0.0159,0.0171,0.0025,1.0000,-0.0062
days_to_roll,-0.0097,-0.0089,-0.0199,0.0010,-0.0254,-0.0255,-0.0182,-0.0045,0.0097,-0.0009,-0.0062,1.0000
