,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0063,0.9784,-4.1977,4.1741,0.0000,0.0000,0.0600
ret_5d,0.0159,0.9932,-4.0966,4.4080,0.0000,0.0000,0.0029
ret_21d,0.0302,1.0090,-3.2392,2.9804,0.0000,0.0000,0.0000
ret_126d,-0.0214,1.0807,-4.0230,2.9345,0.0000,0.0000,0.0000
macd_8_24,0.0899,1.0679,-2.7259,2.9345,0.0000,0.0000,0.0000
rsi_5,0.0261,0.4238,-0.9528,0.9637,0.0000,0.0000,0.0000
rsi_30,0.0053,0.1784,-0.6052,0.6062,0.0000,0.0000,0.0000
atr_norm,1.0062,0.0609,0.5320,1.7694,0.0000,0.0000,0.0000
vol_norm,1.0963,1.7589,0.0000,14.6351,0.0000,0.0000,0.0288
oi_chg,0.0007,0.0528,-0.6435,1.8668,0.0000,0.0000,0.0540
drawdown,-0.1029,0.1094,-0.6533,0.0000,0.0000,0.0000,0.0652
days_to_roll,-0.3354,0.1117,-0.5000,0.5000,0.0000,0.0000,0.0004
