,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0119,0.9823,-3.7289,4.1954,0.0000,0.0000,0.0127
ret_5d,0.0263,0.9814,-3.2958,3.5456,0.0000,0.0000,0.0018
ret_21d,0.0436,0.9875,-3.1701,3.2487,0.0000,0.0000,0.0007
ret_126d,-0.0173,1.0113,-2.6460,3.0663,0.0000,0.0000,0.0000
macd_8_24,0.0410,1.0667,-2.6916,3.0518,0.0000,0.0000,0.0000
rsi_5,0.0095,0.4009,-0.9366,0.9691,0.0000,0.0000,0.0000
rsi_30,0.0059,0.1672,-0.4717,0.5943,0.0000,0.0000,0.0000
atr_norm,1.0035,0.4106,0.1968,4.9355,0.0000,0.0000,0.0000
vol_norm,0.9958,0.8117,0.0000,20.0000,0.0000,0.0000,0.0460
oi_chg,0.0033,0.1135,-1.0000,5.0000,0.0000,0.0000,0.0285
drawdown,-0.0385,0.0321,-0.1486,0.0000,0.0000,0.0000,0.0560
days_to_roll,0.0698,0.3241,-0.5000,0.5111,0.0000,0.0000,0.0088
