,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4727,0.2710,0.1352,0.1713,0.5601,0.2845,-0.1078,0.0482,-0.0021,0.1683,-0.0075
ret_5d,0.4727,1.0000,0.5708,0.2886,0.5354,0.8747,0.5764,0.2319,0.0875,0.0007,0.3442,-0.0141
ret_21d,0.2710,0.5708,1.0000,0.5145,0.8587,0.7118,0.8832,0.4224,0.0682,0.0027,0.5880,-0.0035
ret_126d,0.1352,0.2886,0.5145,1.0000,0.4612,0.3824,0.7384,0.2723,0.0173,-0.0085,0.7724,0.0162
macd_8_24,0.1713,0.5354,0.8587,0.4612,1.0000,0.6783,0.8153,0.4124,0.0672,-0.0032,0.5607,-0.0029
rsi_5,0.5601,0.8747,0.7118,0.3824,0.6783,1.0000,0.7046,0.2797,0.0736,-0.0054,0.4562,-0.0030
rsi_30,0.2845,0.5764,0.8832,0.7384,0.8153,0.7046,1.0000,0.4014,0.0605,-0.0045,0.7756,0.0073
atr_norm,-0.1078,0.2319,0.4224,0.2723,0.4124,0.2797,0.4014,1.0000,0.1138,0.0038,0.3120,0.0347
vol_norm,0.0482,0.0875,0.0682,0.0173,0.0672,0.0736,0.0605,0.1138,1.0000,0.0342,0.0473,-0.0865
oi_chg,-0.0021,0.0007,0.0027,-0.0085,-0.0032,-0.0054,-0.0045,0.0038,0.0342,1.0000,-0.0035,-0.1037
drawdown,0.1683,0.3442,0.5880,0.7724,0.5607,0.4562,0.7756,0.3120,0.0473,-0.0035,1.0000,0.0200
days_to_roll,-0.0075,-0.0141,-0.0035,0.0162,-0.0029,-0.0030,0.0073,0.0347,-0.0865,-0.1037,0.0200,1.0000
