,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4566,0.2319,0.1075,0.1230,0.5495,0.2676,-0.0305,-0.0335,0.0098,0.1441,-0.0285
ret_5d,0.4566,1.0000,0.5142,0.2427,0.4858,0.8773,0.5574,-0.0607,0.0185,0.0077,0.3023,-0.0317
ret_21d,0.2319,0.5142,1.0000,0.4621,0.8804,0.6738,0.8671,-0.0108,0.0192,0.0024,0.5128,-0.0063
ret_126d,0.1075,0.2427,0.4621,1.0000,0.4809,0.3215,0.7095,-0.0022,0.0106,-0.0045,0.7103,-0.0687
macd_8_24,0.1230,0.4858,0.8804,0.4809,1.0000,0.6506,0.8632,-0.0235,0.0305,0.0047,0.5259,-0.0244
rsi_5,0.5495,0.8773,0.6738,0.3215,0.6506,1.0000,0.7000,-0.0812,0.0001,0.0076,0.3959,-0.0321
rsi_30,0.2676,0.5574,0.8671,0.7095,0.8632,0.7000,1.0000,-0.0198,0.0234,-0.0001,0.6953,-0.0234
atr_norm,-0.0305,-0.0607,-0.0108,-0.0022,-0.0235,-0.0812,-0.0198,1.0000,0.2301,-0.0074,-0.0070,0.0450
vol_norm,-0.0335,0.0185,0.0192,0.0106,0.0305,0.0001,0.0234,0.2301,1.0000,0.0458,0.0242,0.0985
oi_chg,0.0098,0.0077,0.0024,-0.0045,0.0047,0.0076,-0.0001,-0.0074,0.0458,1.0000,-0.0009,0.0009
drawdown,0.1441,0.3023,0.5128,0.7103,0.5259,0.3959,0.6953,-0.0070,0.0242,-0.0009,1.0000,-0.0038
days_to_roll,-0.0285,-0.0317,-0.0063,-0.0687,-0.0244,-0.0321,-0.0234,0.0450,0.0985,0.0009,-0.0038,1.0000
