,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,-0.0043,0.9842,-3.7365,4.1098,0.0000,0.0000,0.0116
ret_5d,-0.0170,0.9969,-2.8553,4.5870,0.0000,0.0000,0.0048
ret_21d,-0.0696,0.9761,-2.9131,3.7046,0.0000,0.0000,0.0013
ret_126d,-0.2654,0.9196,-3.2927,3.1035,0.0000,0.0000,0.0009
macd_8_24,-0.0823,1.0556,-2.9664,3.6690,0.0000,0.0000,0.0000
rsi_5,-0.0382,0.3979,-0.9697,0.9502,0.0000,0.0000,0.0000
rsi_30,-0.0247,0.1553,-0.4215,0.6261,0.0000,0.0000,0.0000
atr_norm,1.0062,0.3899,0.2151,4.2706,0.0000,0.0000,0.0000
vol_norm,1.0089,0.4611,0.0000,8.8833,0.0000,0.0000,0.0143
oi_chg,0.0011,0.0695,-0.9583,5.0000,0.0000,0.0000,0.0113
drawdown,-0.0980,0.0737,-0.3862,0.0000,0.0000,0.0000,0.0371
days_to_roll,0.2350,0.3430,-0.5000,0.5111,0.0000,0.0000,0.0063
