,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4460,0.2443,0.0983,0.1264,0.5572,0.2691,-0.0169,0.0207,0.0197,0.1458,-0.0033
ret_5d,0.4460,1.0000,0.5228,0.2111,0.4941,0.8779,0.5536,0.0364,0.0805,0.0091,0.2987,0.0033
ret_21d,0.2443,0.5228,1.0000,0.3964,0.8895,0.6756,0.8648,0.0457,0.0266,0.0128,0.5183,-0.0213
ret_126d,0.0983,0.2111,0.3964,1.0000,0.4024,0.2651,0.6439,0.0192,0.0125,-0.0041,0.7600,-0.0254
macd_8_24,0.1264,0.4941,0.8895,0.4024,1.0000,0.6473,0.8588,0.0481,0.0312,0.0178,0.5266,-0.0179
rsi_5,0.5572,0.8779,0.6756,0.2651,0.6473,1.0000,0.6830,0.0104,0.0795,0.0189,0.3796,-0.0051
rsi_30,0.2691,0.5536,0.8648,0.6439,0.8588,0.6830,1.0000,0.0435,0.0266,0.0084,0.7315,-0.0224
atr_norm,-0.0169,0.0364,0.0457,0.0192,0.0481,0.0104,0.0435,1.0000,0.3092,0.0268,0.0332,0.0192
vol_norm,0.0207,0.0805,0.0266,0.0125,0.0312,0.0795,0.0266,0.3092,1.0000,0.0549,0.0251,0.0333
oi_chg,0.0197,0.0091,0.0128,-0.0041,0.0178,0.0189,0.0084,0.0268,0.0549,1.0000,0.0057,0.0057
drawdown,0.1458,0.2987,0.5183,0.7600,0.5266,0.3796,0.7315,0.0332,0.0251,0.0057,1.0000,-0.0178
days_to_roll,-0.0033,0.0033,-0.0213,-0.0254,-0.0179,-0.0051,-0.0224,0.0192,0.0333,0.0057,-0.0178,1.0000
