,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4423,0.2290,0.1018,0.1030,0.5336,0.2650,0.4776,-0.0608,-0.0039,0.1216,0.0145
ret_5d,0.4423,1.0000,0.5007,0.2443,0.4704,0.8516,0.5496,0.4705,-0.1218,-0.0089,0.2551,0.0127
ret_21d,0.2290,0.5007,1.0000,0.4865,0.8771,0.6702,0.8570,0.4689,-0.0502,-0.0010,0.4615,0.0047
ret_126d,0.1018,0.2443,0.4865,1.0000,0.5231,0.3251,0.7183,0.2265,-0.0086,0.0363,0.6938,-0.0008
macd_8_24,0.1030,0.4704,0.8771,0.5231,1.0000,0.6296,0.8545,0.4486,-0.0502,0.0044,0.4930,-0.0032
rsi_5,0.5336,0.8516,0.6702,0.3251,0.6296,1.0000,0.6971,0.5694,-0.0928,-0.0019,0.3428,0.0026
rsi_30,0.2650,0.5496,0.8570,0.7183,0.8545,0.6971,1.0000,0.4734,-0.0499,0.0134,0.6377,-0.0031
atr_norm,0.4776,0.4705,0.4689,0.2265,0.4486,0.5694,0.4734,1.0000,-0.0509,-0.0072,0.3475,0.0027
vol_norm,-0.0608,-0.1218,-0.0502,-0.0086,-0.0502,-0.0928,-0.0499,-0.0509,1.0000,0.0681,-0.0120,0.0142
oi_chg,-0.0039,-0.0089,-0.0010,0.0363,0.0044,-0.0019,0.0134,-0.0072,0.0681,1.0000,0.0098,-0.0242
drawdown,0.1216,0.2551,0.4615,0.6938,0.4930,0.3428,0.6377,0.3475,-0.0120,0.0098,1.0000,0.0067
days_to_roll,0.0145,0.0127,0.0047,-0.0008,-0.0032,0.0026,-0.0031,0.0027,0.0142,-0.0242,0.0067,1.0000
