,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4501,0.2248,0.1095,0.1048,0.5393,0.2670,-0.1773,-0.2406,0.0228,0.1295,-0.0029
ret_5d,0.4501,1.0000,0.4866,0.2518,0.4716,0.8601,0.5515,-0.3607,-0.3903,-0.0072,0.2673,-0.0182
ret_21d,0.2248,0.4866,1.0000,0.4968,0.8807,0.6613,0.8586,-0.1768,-0.1497,-0.0062,0.4758,-0.0383
ret_126d,0.1095,0.2518,0.4968,1.0000,0.5035,0.3221,0.7262,-0.0279,-0.0170,-0.0339,0.6665,-0.0722
macd_8_24,0.1048,0.4716,0.8807,0.5035,1.0000,0.6353,0.8520,-0.2155,-0.1719,-0.0037,0.5230,-0.0178
rsi_5,0.5393,0.8601,0.6613,0.3221,0.6353,1.0000,0.6902,-0.3705,-0.3915,-0.0053,0.3507,-0.0206
rsi_30,0.2670,0.5515,0.8586,0.7262,0.8520,0.6902,1.0000,-0.1775,-0.1498,-0.0187,0.6447,-0.0550
atr_norm,-0.1773,-0.3607,-0.1768,-0.0279,-0.2155,-0.3705,-0.1775,1.0000,0.6191,0.0243,-0.0570,0.0102
vol_norm,-0.2406,-0.3903,-0.1497,-0.0170,-0.1719,-0.3915,-0.1498,0.6191,1.0000,0.0457,-0.0362,-0.0109
oi_chg,0.0228,-0.0072,-0.0062,-0.0339,-0.0037,-0.0053,-0.0187,0.0243,0.0457,1.0000,-0.0401,-0.0152
drawdown,0.1295,0.2673,0.4758,0.6665,0.5230,0.3507,0.6447,-0.0570,-0.0362,-0.0401,1.0000,-0.0054
days_to_roll,-0.0029,-0.0182,-0.0383,-0.0722,-0.0178,-0.0206,-0.0550,0.0102,-0.0109,-0.0152,-0.0054,1.0000
