,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4541,0.2337,0.1287,0.1216,0.5477,0.2846,-0.1063,-0.0049,0.0898,0.1574,-0.0276
ret_5d,0.4541,1.0000,0.5021,0.2801,0.4887,0.8697,0.5786,0.0108,0.0977,0.1003,0.2808,0.0125
ret_21d,0.2337,0.5021,1.0000,0.4931,0.8833,0.6525,0.8673,0.1297,0.1709,0.0507,0.4479,-0.0004
ret_126d,0.1287,0.2801,0.4931,1.0000,0.4701,0.3445,0.6996,0.0693,0.0737,0.0080,0.5483,0.0007
macd_8_24,0.1216,0.4887,0.8833,0.4701,1.0000,0.6501,0.8626,0.1290,0.1713,0.0526,0.4778,-0.0001
rsi_5,0.5477,0.8697,0.6525,0.3445,0.6501,1.0000,0.7023,0.0239,0.1226,0.1056,0.3344,-0.0008
rsi_30,0.2846,0.5786,0.8673,0.6996,0.8626,0.7023,1.0000,0.0951,0.1356,0.0562,0.6093,-0.0076
atr_norm,-0.1063,0.0108,0.1297,0.0693,0.1290,0.0239,0.0951,1.0000,0.3790,0.0127,0.0060,0.0174
vol_norm,-0.0049,0.0977,0.1709,0.0737,0.1713,0.1226,0.1356,0.3790,1.0000,0.0201,0.0892,0.0056
oi_chg,0.0898,0.1003,0.0507,0.0080,0.0526,0.1056,0.0562,0.0127,0.0201,1.0000,0.0481,0.0009
drawdown,0.1574,0.2808,0.4479,0.5483,0.4778,0.3344,0.6093,0.0060,0.0892,0.0481,1.0000,-0.0055
days_to_roll,-0.0276,0.0125,-0.0004,0.0007,-0.0001,-0.0008,-0.0076,0.0174,0.0056,0.0009,-0.0055,1.0000
