,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0282,0.9814,-4.4058,4.3629,0.0000,0.0000,0.0058
ret_5d,0.0762,0.9522,-4.2931,3.0753,0.0000,0.0000,0.0019
ret_21d,0.2001,0.9018,-3.5009,2.8391,0.0000,0.0000,0.0007
ret_126d,0.4403,0.8754,-2.3733,3.5786,0.0000,0.0000,0.0000
macd_8_24,0.2403,1.0667,-3.4479,3.0223,0.0000,0.0000,0.0000
rsi_5,0.0868,0.3897,-0.9365,0.9432,0.0000,0.0000,0.0000
rsi_30,0.0561,0.1499,-0.6368,0.4668,0.0000,0.0000,0.0000
atr_norm,1.0137,0.4943,0.0075,5.7398,0.0000,0.0000,0.0000
vol_norm,1.0148,0.7700,0.0000,6.5939,0.0000,0.0000,0.0032
oi_chg,0.0192,0.3068,-1.0000,5.0000,0.0000,0.0000,0.0364
drawdown,-0.0579,0.0728,-0.4343,0.0000,0.0000,0.0000,0.1063
days_to_roll,-0.0040,0.2947,-0.5000,0.5778,0.0000,0.0000,0.0002
