,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4420,0.2296,0.1018,0.1028,0.5334,0.2649,0.0849,-0.0598,0.0022,0.1216,0.0214
ret_5d,0.4420,1.0000,0.5007,0.2436,0.4701,0.8511,0.5493,0.0227,-0.1267,-0.0224,0.2548,0.0411
ret_21d,0.2296,0.5007,1.0000,0.4854,0.8766,0.6711,0.8568,0.0512,-0.0516,-0.0310,0.4616,0.1186
ret_126d,0.1018,0.2436,0.4854,1.0000,0.5228,0.3246,0.7180,0.0245,-0.0072,-0.0034,0.6943,0.2594
macd_8_24,0.1028,0.4701,0.8766,0.5228,1.0000,0.6295,0.8543,0.0276,-0.0515,-0.0241,0.4931,0.1427
rsi_5,0.5334,0.8511,0.6711,0.3246,0.6295,1.0000,0.6974,0.0255,-0.0970,-0.0251,0.3428,0.0845
rsi_30,0.2649,0.5493,0.8568,0.7180,0.8543,0.6974,1.0000,0.0424,-0.0482,-0.0270,0.6380,0.1873
atr_norm,0.0849,0.0227,0.0512,0.0245,0.0276,0.0255,0.0424,1.0000,0.0343,-0.0256,0.0465,-0.0080
vol_norm,-0.0598,-0.1267,-0.0516,-0.0072,-0.0515,-0.0970,-0.0482,0.0343,1.0000,0.0750,-0.0073,-0.0921
oi_chg,0.0022,-0.0224,-0.0310,-0.0034,-0.0241,-0.0251,-0.0270,-0.0256,0.0750,1.0000,-0.0116,0.0036
drawdown,0.1216,0.2548,0.4616,0.6943,0.4931,0.3428,0.6380,0.0465,-0.0073,-0.0116,1.0000,0.2379
days_to_roll,0.0214,0.0411,0.1186,0.2594,0.1427,0.0845,0.1873,-0.0080,-0.0921,0.0036,0.2379,1.0000
