,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4454,0.2246,0.1100,0.1156,0.5542,0.2632,-0.0042,-0.0009,0.0025,0.1328,-0.0098
ret_5d,0.4454,1.0000,0.4983,0.2435,0.4869,0.8782,0.5509,0.0252,0.0010,0.0109,0.2820,-0.0319
ret_21d,0.2246,0.4983,1.0000,0.4650,0.8770,0.6606,0.8619,0.0051,-0.0199,0.0080,0.5041,-0.0475
ret_126d,0.1100,0.2435,0.4650,1.0000,0.4745,0.3217,0.7168,-0.0039,-0.0017,0.0185,0.7939,-0.1774
macd_8_24,0.1156,0.4869,0.8770,0.4745,1.0000,0.6467,0.8501,0.0036,-0.0115,0.0042,0.4974,-0.0903
rsi_5,0.5542,0.8782,0.6606,0.3217,0.6467,1.0000,0.6898,0.0219,0.0033,0.0118,0.3581,-0.0529
rsi_30,0.2632,0.5509,0.8619,0.7168,0.8501,0.6898,1.0000,0.0036,-0.0080,0.0100,0.7152,-0.1136
atr_norm,-0.0042,0.0252,0.0051,-0.0039,0.0036,0.0219,0.0036,1.0000,0.4005,0.0408,0.0025,-0.0031
vol_norm,-0.0009,0.0010,-0.0199,-0.0017,-0.0115,0.0033,-0.0080,0.4005,1.0000,0.0526,0.0048,-0.0275
oi_chg,0.0025,0.0109,0.0080,0.0185,0.0042,0.0118,0.0100,0.0408,0.0526,1.0000,0.0160,-0.0420
drawdown,0.1328,0.2820,0.5041,0.7939,0.4974,0.3581,0.7152,0.0025,0.0048,0.0160,1.0000,0.0546
days_to_roll,-0.0098,-0.0319,-0.0475,-0.1774,-0.0903,-0.0529,-0.1136,-0.0031,-0.0275,-0.0420,0.0546,1.0000
