,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4466,0.2255,0.1055,0.1132,0.5478,0.2682,0.1151,0.0324,-0.0498,0.1181,-0.0295
ret_5d,0.4466,1.0000,0.4924,0.2310,0.4855,0.8686,0.5588,0.1372,0.0266,-0.0645,0.2473,-0.0095
ret_21d,0.2255,0.4924,1.0000,0.4090,0.8710,0.6604,0.8584,0.0770,0.0018,-0.0604,0.4252,0.0149
ret_126d,0.1055,0.2310,0.4090,1.0000,0.4282,0.2963,0.6436,0.0239,0.0001,-0.0121,0.6206,0.0040
macd_8_24,0.1132,0.4855,0.8710,0.4282,1.0000,0.6517,0.8668,0.0733,-0.0034,-0.0582,0.4514,0.0108
rsi_5,0.5478,0.8686,0.6604,0.2963,0.6517,1.0000,0.7008,0.1375,0.0307,-0.0730,0.3284,-0.0050
rsi_30,0.2682,0.5588,0.8584,0.6436,0.8668,0.7008,1.0000,0.0939,0.0116,-0.0566,0.6223,0.0028
atr_norm,0.1151,0.1372,0.0770,0.0239,0.0733,0.1375,0.0939,1.0000,0.3571,0.0163,0.0537,0.0193
vol_norm,0.0324,0.0266,0.0018,0.0001,-0.0034,0.0307,0.0116,0.3571,1.0000,0.1691,0.0155,0.0046
oi_chg,-0.0498,-0.0645,-0.0604,-0.0121,-0.0582,-0.0730,-0.0566,0.0163,0.1691,1.0000,-0.0163,0.0098
drawdown,0.1181,0.2473,0.4252,0.6206,0.4514,0.3284,0.6223,0.0537,0.0155,-0.0163,1.0000,-0.0027
days_to_roll,-0.0295,-0.0095,0.0149,0.0040,0.0108,-0.0050,0.0028,0.0193,0.0046,0.0098,-0.0027,1.0000
