,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4512,0.2319,0.1012,0.1226,0.5553,0.2698,-0.0425,-0.0609,0.0215,0.1163,0.0319
ret_5d,0.4512,1.0000,0.5080,0.2305,0.4931,0.8717,0.5604,0.5530,-0.0972,0.0493,0.2517,0.0505
ret_21d,0.2319,0.5080,1.0000,0.4481,0.8781,0.6583,0.8642,0.7547,-0.0185,0.0420,0.4667,0.0253
ret_126d,0.1012,0.2305,0.4481,1.0000,0.4939,0.3125,0.6860,0.3098,0.0251,0.0034,0.7626,0.0276
macd_8_24,0.1226,0.4931,0.8781,0.4939,1.0000,0.6506,0.8670,0.7659,-0.0321,0.0391,0.4932,0.0438
rsi_5,0.5553,0.8717,0.6583,0.3125,0.6506,1.0000,0.6928,0.6288,-0.0928,0.0570,0.3386,0.0722
rsi_30,0.2698,0.5604,0.8642,0.6860,0.8670,0.6928,1.0000,0.7104,-0.0172,0.0333,0.6884,0.0266
atr_norm,-0.0425,0.5530,0.7547,0.3098,0.7659,0.6288,0.7104,1.0000,-0.0342,0.0422,0.4090,0.0598
vol_norm,-0.0609,-0.0972,-0.0185,0.0251,-0.0321,-0.0928,-0.0172,-0.0342,1.0000,0.0528,-0.0039,-0.0833
oi_chg,0.0215,0.0493,0.0420,0.0034,0.0391,0.0570,0.0333,0.0422,0.0528,1.0000,-0.0018,-0.0138
drawdown,0.1163,0.2517,0.4667,0.7626,0.4932,0.3386,0.6884,0.4090,-0.0039,-0.0018,1.0000,0.0333
days_to_roll,0.0319,0.0505,0.0253,0.0276,0.0438,0.0722,0.0266,0.0598,-0.0833,-0.0138,0.0333,1.0000
