,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0241,0.9865,-4.8389,4.6440,0.0000,0.0000,0.0066
ret_5d,0.0547,0.9662,-3.8606,4.4401,0.0000,0.0000,0.0036
ret_21d,0.1096,0.9787,-3.2654,3.7368,0.0000,0.0000,0.0009
ret_126d,0.1711,0.9824,-3.3290,2.9454,0.0000,0.0000,0.0004
macd_8_24,0.1278,1.0705,-3.1120,3.0440,0.0000,0.0000,0.0000
rsi_5,0.0345,0.3946,-0.9796,0.9853,0.0000,0.0000,0.0000
rsi_30,0.0258,0.1683,-0.5220,0.6803,0.0000,0.0000,0.0000
atr_norm,1.0093,0.4596,0.1519,12.5899,0.0000,0.0000,0.0000
vol_norm,1.0154,0.3461,0.0000,6.3306,0.0000,0.0000,0.0011
oi_chg,0.0010,0.0703,-1.0000,5.0000,0.0000,0.0000,0.0075
drawdown,-0.0807,0.0784,-0.5298,0.0000,0.0000,0.0000,0.0592
days_to_roll,0.3902,0.2566,-0.5000,0.5111,0.0000,0.0000,0.0021
