,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4617,0.2181,0.1146,0.1002,0.5555,0.2781,0.0602,-0.0143,0.0011,0.1211,-0.0060
ret_5d,0.4617,1.0000,0.4749,0.2433,0.4641,0.8682,0.5713,0.0620,-0.0404,0.0358,0.2563,-0.0127
ret_21d,0.2181,0.4749,1.0000,0.4426,0.8678,0.6405,0.8566,0.0428,0.0236,0.0695,0.4414,-0.0186
ret_126d,0.1146,0.2433,0.4426,1.0000,0.4524,0.3024,0.6833,0.0320,-0.0101,0.0826,0.6128,-0.0395
macd_8_24,0.1002,0.4641,0.8678,0.4524,1.0000,0.6359,0.8475,0.0415,0.0286,0.0429,0.4536,-0.0309
rsi_5,0.5555,0.8682,0.6405,0.3024,0.6359,1.0000,0.7071,0.0694,-0.0376,0.0306,0.3282,-0.0144
rsi_30,0.2781,0.5713,0.8566,0.6833,0.8475,0.7071,1.0000,0.0606,0.0036,0.0837,0.6139,-0.0294
atr_norm,0.0602,0.0620,0.0428,0.0320,0.0415,0.0694,0.0606,1.0000,0.2690,0.0045,0.0440,0.0165
vol_norm,-0.0143,-0.0404,0.0236,-0.0101,0.0286,-0.0376,0.0036,0.2690,1.0000,0.0060,-0.0017,0.0127
oi_chg,0.0011,0.0358,0.0695,0.0826,0.0429,0.0306,0.0837,0.0045,0.0060,1.0000,0.0379,0.0108
drawdown,0.1211,0.2563,0.4414,0.6128,0.4536,0.3282,0.6139,0.0440,-0.0017,0.0379,1.0000,-0.2843
days_to_roll,-0.0060,-0.0127,-0.0186,-0.0395,-0.0309,-0.0144,-0.0294,0.0165,0.0127,0.0108,-0.2843,1.0000
