,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4468,0.2163,0.1061,0.0914,0.5490,0.2763,-0.1634,-0.1013,-0.0019,0.1375,0.0234
ret_5d,0.4468,1.0000,0.4664,0.2350,0.4567,0.8592,0.5555,-0.3260,-0.1808,0.0022,0.2644,0.0341
ret_21d,0.2163,0.4664,1.0000,0.4573,0.8690,0.6216,0.8464,-0.1720,-0.0897,0.0082,0.4628,0.0014
ret_126d,0.1061,0.2350,0.4573,1.0000,0.4830,0.3040,0.6859,-0.0356,-0.0102,0.0017,0.6991,0.0370
macd_8_24,0.0914,0.4567,0.8690,0.4830,1.0000,0.6081,0.8572,-0.1901,-0.1005,-0.0014,0.5017,0.0212
rsi_5,0.5490,0.8592,0.6216,0.3040,0.6081,1.0000,0.6829,-0.3309,-0.1749,0.0033,0.3396,0.0255
rsi_30,0.2763,0.5555,0.8464,0.6859,0.8572,0.6829,1.0000,-0.1834,-0.0932,0.0013,0.6649,0.0186
atr_norm,-0.1634,-0.3260,-0.1720,-0.0356,-0.1901,-0.3309,-0.1834,1.0000,0.2108,0.0190,-0.0581,0.0074
vol_norm,-0.1013,-0.1808,-0.0897,-0.0102,-0.1005,-0.1749,-0.0932,0.2108,1.0000,0.0291,-0.0172,-0.1289
oi_chg,-0.0019,0.0022,0.0082,0.0017,-0.0014,0.0033,0.0013,0.0190,0.0291,1.0000,-0.0080,-0.0079
drawdown,0.1375,0.2644,0.4628,0.6991,0.5017,0.3396,0.6649,-0.0581,-0.0172,-0.0080,1.0000,0.0262
days_to_roll,0.0234,0.0341,0.0014,0.0370,0.0212,0.0255,0.0186,0.0074,-0.1289,-0.0079,0.0262,1.0000
