,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0229,0.9818,-4.6082,3.2524,0.0000,0.0000,0.0337
ret_5d,0.0624,0.9867,-4.3021,3.3141,0.0000,0.0000,0.0075
ret_21d,0.1523,0.9706,-4.4519,3.1558,0.0000,0.0000,0.0020
ret_126d,0.3233,0.9907,-3.0969,3.2122,0.0000,0.0000,0.0000
macd_8_24,0.1937,1.0884,-3.1100,3.7049,0.0000,0.0000,0.0000
rsi_5,0.0696,0.3996,-0.9745,0.9653,0.0000,0.0000,0.0000
rsi_30,0.0410,0.1648,-0.7007,0.5805,0.0000,0.0000,0.0000
atr_norm,1.0012,0.0182,0.8515,1.0811,0.0000,0.0000,0.0000
vol_norm,1.0348,0.7783,0.0000,18.3662,0.0000,0.0000,0.0025
oi_chg,0.0042,0.1303,-1.0000,5.0000,0.0000,0.0000,0.0077
drawdown,-0.0421,0.0528,-0.3255,0.0000,0.0000,0.0000,0.0894
days_to_roll,0.0215,0.3299,-0.5000,1.5333,0.0000,0.0000,0.0104
